cycles,instructions,load_misses,store_misses,ept_walk_cycles
31317452,8958250,2527388,2718977,1734300
47180894,29058,116617,3864187,2553633
53162657,32790,131456,4359878,2820136
53259208,32850,131646,4367853,2818178
52808852,32551,130467,4328490,2824379
53301414,32847,131661,4367587,2854499
53074187,32740,131232,4353238,2802997
53136784,32780,131386,4359080,2797703
38348337,23587,94882,3136549,2091777
5338120,3104,13773,412177,437932
5698166,3328,14776,442624,461359
5678118,3308,14533,439831,472738
5653858,3281,14593,436240,493392
5832034,3365,14935,447550,523099
4811573,2792,12170,371341,411010
886924,496,2288,66008,82178
3261755,1884,8377,250627,282242
6235684,3607,16130,479608,545157
5560684,3219,14261,427999,485493
5340508,3091,13800,411103,475977
991601,539,2650,71546,87946
773176,408,2097,54354,68693
804001,432,2199,57551,71257
4799255,2778,12232,369238,413999
5586835,3256,14235,433181,457304
5639462,3302,14475,439038,420528
5022567,2943,13311,390759,381914
5450500,3188,14004,424004,433557
5750794,3364,15396,447422,450550
5009931,2921,14061,388365,396654
880938,472,2543,62906,73695
814133,440,2307,58615,65826
793900,424,2167,56502,64377
1176024,648,3301,86304,95838
5744664,3368,14730,448077,449084
5449104,3185,13929,423472,438806
5720315,3350,14595,445417,449969
5409215,3169,14198,421477,423864
5436318,3190,13964,423876,423611
5279687,3098,14109,411635,404303
5514818,3225,14105,428792,439550
4723609,2744,12355,364691,370389
976622,515,2806,68803,79344
1017132,543,2888,72271,83400
1063966,575,3013,76517,87701
5322192,3108,13572,413507,426615
5427664,3179,13860,422551,428424
5816181,3404,15704,452737,451755
5281888,3092,13948,410576,408278
5745532,3368,14642,447944,443808
5517636,3242,14169,430925,423376
2170968,1240,5765,165173,170817
773447,417,2174,55349,64084
4432375,2593,11351,344752,342427
4539741,2650,12062,352515,350668
4206024,2455,11241,326402,329897
3981554,2313,10499,307571,320593
2992121,1731,8094,230406,243165
3532115,2046,9351,271779,281608
5238034,3061,13623,407000,409054
3074898,1776,8440,236288,245348
3250510,1878,8665,249726,259434
5391017,3153,15242,419216,415654
1485604,833,4283,110821,119144
4522010,2644,12320,351682,349868
3969609,2309,11085,307152,309424
3303712,1920,9153,255553,257261
4473812,2615,12160,347682,343448
2382915,1369,6451,182162,185225
4360993,2545,12656,338229,334154
5028660,2941,14360,391173,381971
1664813,947,4572,126050,130236
4636258,2713,12854,360707,352349
5534254,3234,15592,429994,436113
1330559,736,3897,98053,109930
5598862,3273,15167,435043,440031
2829577,1642,7732,218170,222296
3135569,1817,8747,241573,247962
5745912,3360,15182,446895,452593
1623180,923,4524,122962,127236
4979331,2909,12962,386774,389403
5278239,3074,13965,408601,422435
1442023,809,3892,107717,115963
5082354,2977,13041,395695,390657
4943585,2893,12953,384779,392518
1391591,780,3735,103687,114162
5054035,2957,12896,393286,401370
4000897,2324,10624,309172,315543
3620048,2106,9590,279877,287040
4539989,2657,12014,353125,352913
1836289,1050,4852,139587,145354
3187617,1875,8286,248843,242858
5187673,3041,14651,404453,394776
5434307,3194,14637,424541,411496
3518309,2049,9769,272429,269783
886040,488,2525,64984,71516
837841,456,2470,60625,67744
874465,464,2569,61877,72588
1952813,1112,5290,147971,154159
5782224,3380,16361,449678,451869
5685652,3310,15329,439708,455489
4964422,2905,13844,386365,386513
5284499,3088,15120,410837,413585
5716204,3336,15305,443555,453494
5724503,3349,15846,445284,447064
4888892,2837,13175,377464,391169
5238307,3053,14500,405655,417275
1300169,724,3763,96427,107717
894957,472,2619,62976,76594
947419,509,2735,68000,78623
3813977,2223,9909,295157,298507
5366448,3139,14113,417226,423234
5453107,3184,14009,423206,432457
5831728,3408,14958,453264,454958
5661253,3305,14445,439565,441895
5108680,2992,13066,397803,396243
3956720,2294,10291,305009,310254
936324,504,2612,67044,78688
877267,470,2476,62537,73612
933101,497,2680,66148,78436
816610,432,2381,57478,67923
5136437,3000,13111,399133,401912
5447659,3181,14532,422940,426445
4769635,2779,13082,369356,377565
138928282,69165879,50286580,142237,2381703
220348838,112088853,81519471,0,3479638
240565791,115004546,83639942,0,3547411
240528068,115257439,83824172,54,3744060
235649265,114057336,82950661,0,3568107
238218418,115727884,84166183,0,3558128
240491600,119083149,86606215,53,3803128
238322444,115266280,83830271,0,3615496
238944541,118623931,86272473,0,3624954
238859879,117612505,85536658,53,3783189
237346321,115518158,84013532,0,3563412
220935067,114512440,83281765,0,3427614
238568781,115474345,83981775,0,3565862
240518267,118231010,85986667,52,3822638
237868548,116675292,84855168,0,3606557
223641482,112282321,81660099,0,3428792
238533199,115729687,84167367,52,3791301
238911786,117080081,85149348,0,3670510
240323062,117305207,85313429,0,3601185
238617513,116748815,84908405,52,3731714
239774038,115419962,83942068,0,3639319
238249619,116111377,84445093,0,3574960
232691286,115265191,83828820,52,3673279
229756889,113901388,82838282,0,3520460
235608286,115686238,84135587,0,3569759
238177576,116959509,85061903,52,3752803
238807007,114816886,83503533,0,3598330
238576998,116294274,84577724,0,3554730
240486869,117945726,85779331,0,3585891
238363250,116313358,84591620,52,3746715
238105176,116700515,84873516,0,3597521
238880550,115749940,84182092,0,3544480
240558200,115263562,83828196,52,3758096
238069278,115260582,83826476,0,3630062
238251898,116662576,84845846,0,3603048
238383018,115710998,84153542,52,3741229
238827960,115602385,84075229,0,3608136
221067575,112010471,81462133,0,3380553
240342084,117823149,85689754,52,3782438
238526050,115494750,83996239,0,3566954
237530271,118038357,85846629,0,3656550
239651376,117372735,85362365,52,3767792
240572570,117689118,85592325,0,3685811
236127870,114497019,83270910,0,3519508
239355275,115910228,84298579,52,3697670
240472599,115350837,83891892,0,3602628
238534240,116288950,84574318,0,3589435
239802034,117727695,85620413,0,3580810
239839375,115534305,84025207,52,3755014
238292595,115398654,83926733,0,3609239
239952584,115386323,83917629,0,3582235
