cycles,instructions,load_misses,store_misses,ept_walk_cycles
108396149,123229516,85577831,1337200,4570318
240333061,293400134,213362755,5307,9255314
238548273,292424184,212653543,5254,9062306
238585244,292434652,212661435,5305,9205557
238667064,293222180,213234531,5252,9084718
239506843,294417178,214102594,5304,9119259
241020250,296038938,215283592,5357,9183742
240476859,295894757,215177590,5356,9175863
238344422,293118485,213158761,5254,9082493
240838934,296281168,215459056,5357,9224002
241027993,296645264,215723512,5356,9112907
239067932,294645277,214268599,5306,9168371
239029572,294508210,214169123,5304,9128235
238741864,293910553,213735515,5305,9174575
241208533,296764094,215809768,5357,9195049
239452351,293898640,213725907,5304,9159983
241121188,296030445,215279154,5356,9147649
240469969,295271336,214721979,5304,9194545
240334769,295409121,214823866,5304,9137609
240459162,294367345,214068975,5304,9144887
