cycles,instructions,load_misses,store_misses,ept_walk_cycles
25169326,8954463,2512312,2213188,1437835
13315825,8069,33181,1072379,816017
4136180,2408,10904,319998,330520
4463835,2608,11939,346864,346194
4398398,2576,11504,342608,337877
3995323,2337,10516,310688,308402
5106460,2985,13579,396872,401443
145656824,74718592,54324393,146119,2577643
239462524,118684844,86315806,260,3905955
240506849,120283166,87478321,260,3968236
240130546,120649052,87743950,262,3922941
238197286,121368910,88267697,313,3950870
240366396,120948017,87961075,260,3962949
240311966,120079994,87330575,260,3968867
238556218,117596349,85524621,260,3899481
237610365,119148460,86652849,260,3939921
240550114,121535923,88388641,313,4034546
237274583,119302736,86765534,260,3943810
238423825,117090633,85155394,260,3855098
237925050,120488194,87627691,260,3925000
238216323,121348978,88253071,260,3945395
238284631,120093282,87339951,312,3951798
223316811,115546064,84032447,261,3780631
238323181,120065733,87320537,260,4007814
237976974,119873007,87179798,260,3913512
235344812,117104649,85165959,260,3868792
240504651,120739541,87810252,260,3953380
236793486,118186332,85952789,260,3934852
238209964,119231857,86713818,312,3917506
238068530,120658142,87750903,260,3986954
238240051,117639315,85554917,260,3878019
238347339,119522456,86925190,260,3924115
238315294,117673523,85580083,260,3929576
238159200,118752148,86364606,260,3907648
240251106,119526175,86927636,260,3963153
238226345,119941400,87229338,312,3980667
237978697,117233446,85260008,260,3867826
238934475,118470258,86159616,260,3923677
239490520,119806290,87131197,260,3955150
238154662,119651134,87018578,260,3939681
237987251,119485651,86898334,260,3938835
240484413,121844594,88613441,312,4043817
238737266,118754071,86365769,260,3920671
238293022,118257589,86006790,260,3946753
240251481,119863557,87171091,260,3967942
235533035,116807053,84949867,260,3851028
238198162,119337507,86790136,260,3924198
237498088,116593244,84794725,260,3868315
239421000,121097756,88070320,312,4031954
240546380,119198221,86696125,260,3914866
240541591,120132048,87361077,260,3968255
240447957,120079041,87329660,260,3964678
238240945,115806744,84222662,260,3838688
238079060,118402359,86110511,260,3932053
238163398,120543694,87667441,312,3989312
235637625,118204425,85965991,260,3888643
221137680,109282990,79314932,253479,3592644
