cycles,instructions,dtlb_load_misses_walk_duration,dtlb_store_misses_walk_duration,dtlb_load_misses.walk_completed,dtlb_store_misses.walk_completed,ept_walk_cycles
332126065,159426407,684761830,3731,5316795,223,240092852
344189164,163446102,682390221,3344,5319760,227,250918130
343114309,163134777,690527906,2470,5203364,219,250167651
341250976,163274132,691645570,4925,5321720,226,239883001
327905199,159819505,689375399,3350,5301646,225,236429096
340108175,161929653,673593876,3868,5307952,227,247492131
343344860,163128487,690707638,3812,5216517,227,250163225
343350874,163209610,690684258,5220,5297138,224,246793183
333964288,163188700,692437935,4993,5328618,232,236866596
334377189,159495443,680055267,4091,5309293,225,242013376
343334021,163201679,685757045,3241,5284123,224,250255770
343575424,163282797,691247754,3435,5234664,221,250488652
338918533,163233414,691032386,3541,5318684,221,237891260
328973002,159518500,689983280,1908,5319866,221,237419055
341867419,162650322,674761502,4234,5302051,223,248903822
342311692,162763361,688901947,3692,5182428,224,249431565
343491035,163223875,691131308,3954,5319187,225,244894963
331675891,162305784,690767042,6033,5318391,228,236848994
336133695,160374560,678132452,5069,5321041,228,243804029
343179690,163192081,688003395,5595,5262692,227,250163172
343325357,163209600,690920632,4574,5252595,223,249942582
337585151,163230457,691107705,3721,5319204,225,236850155
329460491,159075193,687576490,4972,5306310,224,237804426
343250486,163099076,676533835,6492,5317536,232,250067279
342897630,162956026,689815943,2204,5189606,222,249804241
343332856,163196230,690796098,4266,5318903,224,242940153
329959554,161656896,691157195,4867,5321519,227,237000740
337755658,161029556,675242966,3260,5318213,228,245519935
343085323,163078468,690431386,3868,5248975,229,249999868
342662408,162968798,690217981,5543,5255738,222,248669672
336859921,163259825,691080071,3597,5320542,222,237043681
330799892,159325905,686672349,3656,5316050,222,239099731
342233924,162749802,677565690,3881,5305574,225,249281966
343176497,163131634,690533564,4146,5195671,223,250232089
343640658,163310077,691361814,5866,5322562,223,242148745
328421875,161005059,690805619,3511,5316573,227,236800239
339024135,161511523,675008865,4858,5318032,225,246414469
343225512,163200334,690991783,3245,5235452,226,250224551
343371491,163263305,691103461,4486,5285554,220,248116170
334798350,162999890,690151587,4304,5312552,229,236256566
332520744,159402040,683999853,4155,5315590,228,240585889
343256232,163171269,682062199,4838,5317347,230,250199678
343481957,163293415,691315643,3813,5202523,224,250432589
341449893,163171763,691081552,7716,5318364,226,239976409
327918803,160021129,690183798,3835,5318992,224,236356209
340349160,161988418,673381450,3439,5305821,226,247569228
343239453,163111252,690765342,4600,5215390,227,250130370
343349691,163236693,691216930,5068,5300542,222,246842348
334081419,163206899,693829409,6289,5340455,230,236890230
334790786,159771168,678061058,4809,5314032,229,242584133
343156528,163053523,686109903,4080,5280464,225,250072066
343183678,163135256,690616925,3292,5231442,219,250103092
339270963,163138885,690790137,3817,5317374,223,238095786
328603089,159445200,691037751,5622,5319831,230,237034422
342700041,162960087,674150934,5059,5317528,224,249665580
343120716,163135485,690737381,4965,5195333,229,250119989
343464408,163275326,691241357,4032,5321608,219,243993302
330789020,161938046,691030727,3207,5318896,224,236997338
336095800,160373649,676939071,2884,5309163,222,243857498
342463473,162860464,686532212,4502,5273157,226,249508620
343212182,163223945,690913946,4599,5241888,220,250249473
338413186,163090489,690642155,4240,5317276,225,237258964
329181169,159403428,689588211,4408,5316976,224,237593511
343420730,163298317,676781865,5333,5322782,230,250518725
342535384,162887268,689720092,3405,5187713,225,249712815
343418445,163215143,690870666,5807,5318851,229,243373507
330257963,161799665,691161411,3011,5319126,220,237015370
338147638,161127509,676231453,3629,5327621,229,245695555
343449574,163235089,691351037,4422,5244754,223,250317974
341682090,162464540,687703182,4188,5247765,222,247914337
337184455,163294526,691139090,3753,5320945,228,236943579
330740785,159331874,686669933,6431,5315387,230,238961425
343397165,163174626,679046115,5592,5317580,231,250358852
343361147,163290711,691327271,2872,5201202,223,250446224
342896472,163735433,692948450,4908,5335629,226,241459481
328175954,160222566,690038944,3255,5314471,225,236520186
341006380,162307470,675328004,6004,5320071,229,248328412
344331376,163658837,692902047,6066,5212851,231,251226086
343897876,163389249,691658689,3707,5324694,220,245263812
331272721,162149291,689973308,4265,5311914,226,236520310
335470067,160003821,677702242,3830,5307936,228,243070602
342412478,162838698,685568328,3345,5281264,223,249494592
342487640,162918919,689820231,2882,5215260,222,249599876
340403621,162669445,688796997,3315,5302938,221,238966275
327906137,159937965,690354605,6079,5312948,232,236262050
341558145,162510624,675368964,2542,5319199,222,248699331
344303159,163581910,692552071,4171,5210523,228,251160792
342490422,162859802,689611793,3637,5309528,220,244617317
332542434,162597726,689292306,2746,5306942,224,236919894
332895572,159054926,679938188,5483,5299851,228,241452112
342172328,161962268,680966306,2917,5299367,226,248715109
342202608,162705687,688900014,4558,5181686,223,249166444
342439014,162799923,689295152,4519,5306035,221,241406870
329038404,161168542,689312946,6284,5303748,230,236848058
338095359,161079590,675373505,4963,5319794,234,246129151
342297153,162762493,689133004,3347,5231531,225,249457432
342319291,162743692,689089943,4572,5255622,223,248726030
337260792,163008037,690090697,2265,5312463,221,237015132
329076715,159054499,688572336,4362,5307954,228,237361956
342979093,163057416,675356675,6423,5313139,228,250327577
343545860,163165179,690757647,5360,5196456,225,250319324
343480581,163208147,691140905,3757,5321530,219,243104167
329941760,161637326,689429485,4103,5307670,225,236988182
336138251,160357890,676590665,6235,5306643,229,243806891
341682169,162494653,685051345,2490,5263289,223,249256889
342602383,162845492,689561735,5787,5219162,224,249575598
340024952,163156123,690921299,4926,5318026,227,238805426
328578139,159794231,689658255,3778,5308435,226,237051059
341647718,162497159,674936118,5227,5318020,227,248665311
342320375,162522622,688233500,5259,5193098,230,249314987
343399333,163165828,691097047,5984,5303878,223,246362992
333716984,162942012,689700307,3226,5310372,223,236988882
332759266,159109110,682322107,2600,5306753,223,240727951
342265974,162756160,680738941,3638,5305583,225,249279072
342061246,162371113,688133075,2106,5171131,222,248975762
342449167,162782567,689059703,4567,5305694,223,242176255
329884574,161482011,690534663,3993,5316228,225,236848925
338093610,161171673,675414467,3808,5319891,227,245618217
342647753,162905369,689705971,3736,5246208,222,249640423
342457109,162626337,688285094,4215,5243976,221,249286956
337841105,163341352,691513443,4157,5322955,224,237019887
330453919,159446287,687967906,3334,5320619,225,238594477
343437956,163313478,679214141,4973,5323217,230,250497021
342472152,162895328,689896416,4906,5188761,228,249473359
342528939,162575915,688434057,4676,5300258,226,242736800
330336826,161738983,689571913,5161,5306891,223,236829646
335959666,160264015,677083258,4273,5308030,228,243556646
343344796,163226851,687749192,5030,5274795,230,250371733
343651332,163327441,691581352,3869,5246267,224,250643012
338101647,162913184,689753512,4243,5310666,221,236941927
328787737,158994441,688668499,2569,5303737,227,237139812
342303901,162835715,673902581,3216,5308446,221,249427835
343049630,163087156,690721712,1843,5192258,221,250078308
343128214,163144471,690733355,5350,5316976,223,244733281
332008200,162443582,691450945,4940,5323008,230,237008278
336009748,160290562,676794803,5340,5308821,231,243660467
342588319,162914381,686602802,3333,5276068,225,249552473
343300685,163109248,690831277,3574,5231895,223,250115523
339018469,163178957,690828869,5324,5321257,228,237890244
328745141,159419455,689628458,3300,5312342,224,237115777
342375515,162752585,673886873,3333,5304299,226,249402757
342510917,162955348,689793663,4210,5190057,223,249552875
343353244,163139609,690681466,2939,5316502,218,245325422
332325229,162551071,690616844,2487,5316999,224,236855896
335260621,159879453,678062747,4754,5309388,228,242890178
342086179,162698978,684308387,6065,5279744,228,249018157
342355189,162814580,689185416,3293,5206710,224,249382951
341164980,162773630,689220520,4793,5306232,227,239878359
328472970,160553383,690933985,3885,5318037,221,236812136
340359078,161946618,673868336,4627,5308417,227,247470057
342334093,162765485,688863125,5271,5211060,227,249412895
343226556,163143828,690845076,4880,5289960,223,247399717
334724629,163425853,691882997,3660,5324058,226,236800137
334082991,159506433,681756980,3908,5321219,225,241941978
342656194,162852641,684212321,2901,5286465,223,249659478
342521777,162906953,689606507,4061,5207570,224,249472846
340819382,162802311,689348751,3324,5307300,222,239533616
328517290,160454912,691496479,3829,5323731,225,237014560
341191532,162400955,675443700,2959,5321113,221,248408435
343717503,163266913,692027099,7018,5197660,234,250480967
342367339,162792334,689291648,3803,5308244,219,244601304
332566186,162601599,689057856,3385,5304402,224,236837125
334353709,159668831,680868940,4163,5318061,227,242340401
343294484,163129983,684900763,4563,5289654,228,250194504
341916015,162620405,689495421,3753,5206850,224,249059205
340489969,162760949,689021235,2919,5303677,223,239213203
328479892,160247606,689603648,5491,5307668,229,236903969
340252195,162018340,675168039,2965,5319772,221,247703294
342467807,162906357,689573939,3294,5214224,222,249470734
342708921,162884571,690598740,5367,5280490,221,246803865
334695940,162803902,689464638,2881,5306902,224,236844706
331328900,159056302,684724505,4759,5308166,227,239479426
343310649,163162708,679712701,3198,5317988,224,250114836
343256125,163189388,690839099,4224,5194947,225,250177202
