cycles,instructions,load_misses,store_misses,ept_walk_cycles
2119647,1200,5953,159740,174859
5352138,3121,15174,414965,428306
5388239,3142,15030,417768,433123
5710388,3329,15894,442491,455655
5429221,3149,15280,418684,452213
5077092,2947,14163,392084,416133
5312027,3089,14730,410438,429667
5859298,3419,16364,454466,467485
5308576,3101,14853,412300,421332
2989318,1712,8393,227811,249330
845687,452,2484,60246,72858
793035,424,2294,56512,68735
3756486,2222,10182,295513,241894
5790085,3400,17086,451934,425618
5887102,3442,17321,457653,449584
6090691,3552,17807,472288,475602
5765376,3362,16884,447023,452166
5840384,3415,17190,454195,445964
5189263,3034,15201,403261,401045
1026631,561,3019,74743,84609
972696,529,2822,70334,82165
959800,524,2836,69955,79495
1650798,939,4862,124864,128557
6081177,3564,17936,473623,454215
6066155,3554,17861,472421,456172
5463479,3201,16091,425733,407466
5615191,3287,16526,437038,423586
5342769,3129,15808,416167,406603
5773248,3375,16907,448614,451737
6024721,3499,17505,465234,501144
4537243,2624,13230,349037,371540
3157006,1822,8507,242601,201247
949831,510,2722,67930,79076
5743907,3359,16236,446614,445026
5259950,3089,14785,410571,393414
5986135,3508,16724,466298,438346
5453213,3191,15353,424270,405777
1156524,624,3318,83112,95168
1297576,728,3836,96929,102621
5356438,3123,14974,414975,420856
1991699,1120,5795,149090,155359
5585109,3277,15882,435974,422104
119422740,60553723,44025528,212466,2206002
238259010,116841392,84975906,0,3689602
239827273,116536043,84753870,0,3633226
240155804,116088905,84428625,0,3571931
237497558,113679136,82676119,0,3466314
240282442,114398941,83199723,0,3813501
238195925,116253765,84548307,54,4144369
237978509,114555053,83313019,0,3545412
238925749,116481852,84714413,0,3561941
240479671,120056437,87314277,0,3599636
235718272,115049873,83672949,0,3501981
240226295,116308420,84588332,0,3844847
240010908,114725245,83436779,0,3722376
239840449,114977576,83620234,53,3981800
238434735,115398903,83926753,0,3561067
238510942,115412013,83936694,0,3561352
240247300,117349087,85345116,0,3597403
240303684,117475278,85436876,0,3806300
239529166,115935025,84316628,0,3613409
240296758,118203114,85965927,52,4186671
236216991,113517104,82558745,0,3523829
239938429,114685260,83407634,0,3530964
238077171,116048743,84399133,0,3520842
239827053,116653723,84839697,0,3530551
239836084,117507470,85460474,0,3883555
240602030,116408735,84661051,52,4131117
238259049,116253754,84548540,0,3604269
238836567,114277838,83111204,0,3517946
239254113,114947457,83598876,0,3543723
238810180,117273175,85289780,0,3562402
236115069,117309540,85316516,0,3839480
239823665,118214149,85974028,0,3783581
238115586,116528399,84748404,53,4032935
239949119,115385212,83916900,0,3560018
240203192,118062634,85863850,0,3576447
239133306,117212356,85245867,0,3538383
239300162,114962207,83609058,0,3748033
239937654,116830052,84967731,0,3609237
237534201,113186750,82317773,52,4087743
239897446,118353870,86075819,0,3629457
237365199,114203757,83057532,0,3549504
240375168,118539033,86211036,0,3599109
238798565,116290029,84574484,0,3551521
239297118,116431829,84678016,0,3825881
238533113,114641272,83375669,52,4114950
239633383,114469617,83251083,0,3574244
238624121,116937301,85045915,0,3574403
237993344,117509394,85461629,0,3579478
237450587,115678379,84130123,0,3551137
236004896,114824485,83507289,0,3778225
238300978,115171183,83763302,0,3757442
90802324,42265903,30440226,300445,1563668
0,0,0,0,0
