cycles,instructions,dtlb_load_misses_walk_duration,dtlb_store_misses_walk_duration,dtlb_load_misses.walk_completed,dtlb_store_misses.walk_completed,ept_walk_cycles
329304119,127218344,110022,196607401,620,3602150,60043838
341556249,130029560,110400,193809600,602,3613409,62816395
342196694,131817431,110852,197419277,614,3652948,63838688
342409997,131941249,112378,198995077,694,3576043,62954469
333759533,131809042,113745,198192630,622,3641132,60792547
331433406,128360965,103157,198237081,625,3639565,61380624
341766476,130586136,106599,193927964,596,3618716,63349460
342048111,131402934,117021,197267489,630,3629135,63584873
342381791,132184870,110775,199613869,602,3609623,62678323
331214226,127835742,109412,193622959,628,3548501,59106585
334682687,127777715,104523,196668909,627,3599865,61206185
341558690,129241202,107814,191163175,541,3583375,62789682
342624088,130435666,112849,196796747,580,3563285,63294932
341498385,132013293,118787,198485644,632,3621124,61597875
328585262,130065035,109045,199106653,640,3653711,60877602
339548731,130758112,112534,197546402,610,3637087,63082017
341740635,130552624,111331,193148035,543,3606147,63402512
342114660,131809778,114039,198652690,594,3577672,63618313
337078610,131985673,118598,199078221,653,3652933,60879051
328685784,128427260,114287,197993966,573,3636173,60747118
342363248,131839768,111439,196687924,618,3645103,63865279
341479132,130577381,105239,194874953,584,3617502,63402040
342163359,131851265,113892,198517319,627,3565755,63074685
334532730,132311397,111477,199692052,567,3665408,61026705
331196306,129212719,115146,199551230,710,3660256,61490374
341824525,131729184,116168,195848498,624,3646492,63823525
341536278,131088783,111662,196642044,628,3617319,63681997
342205302,131990861,114500,199217664,607,3591137,62693324
332287909,131672589,104704,198766073,677,3645028,60947091
333334482,120623081,111205,185726274,646,3398025,57870716
342486272,130387434,115894,192664022,654,3613711,63244393
342170999,128466701,111547,194229477,700,3526880,62469039
342153023,131574981,111464,198101943,567,3593529,61811066
329286286,131073542,110452,199685240,647,3658548,61041201
336280442,128426724,113519,196320773,605,3598783,61958795
342138748,126231057,113481,186349276,622,3489895,60973428
343188468,129218935,120157,195141065,700,3518394,62705941
339851126,132374112,109512,200012131,612,3651465,61381786
328681364,129740005,114128,199154660,608,3655258,60997740
340566519,131018052,112504,197832883,629,3641083,63357053
342343101,131391167,117582,194985518,617,3640848,63582407
342839732,130685701,109672,196855520,620,3540006,62990881
335455666,132135747,115156,199657237,631,3661980,61078829
330220715,129632583,110120,200149694,594,3668740,61482323
343144617,132297470,113932,196775899,607,3670604,63999217
342987064,129723724,120483,195296576,578,3574968,62902930
342303900,128839302,119955,195108162,650,3524406,60923704
330989694,128211138,110083,193863784,607,3564355,59486185
335467212,129601209,115652,199457813,638,3652363,62358308
342049859,130077298,114113,192565621,620,3604725,62858936
342208590,128256591,114692,193248155,564,3488006,62487897
340803193,130527245,111944,197085380,617,3586135,60929901
328449251,129880493,113570,199058269,602,3653229,60885908
338947039,131501920,117918,199242833,610,3675008,63430469
342335332,131948252,123243,195243263,606,3650332,64032021
342059622,131242176,116487,198203905,600,3556770,63619610
337710342,130701216,110570,197377518,617,3611574,60535437
328667628,128402295,109821,197883228,639,3626852,60337584
341630500,131639621,114119,197562022,596,3657749,63758137
342180523,131354762,116787,195585302,618,3642141,63653025
342034449,131194813,124616,198101278,692,3559394,62912541
334905508,129273109,113418,194625787,683,3567520,59723794
330440297,129294613,104477,199041243,642,3648747,61565676
342360391,131725684,113362,196308634,578,3650277,63664761
342143603,131989340,117448,197946977,623,3647322,63881020
342310367,132060688,119558,199157113,645,3588633,63045954
332454876,130852280,118701,197552973,670,3620481,60412384
334165337,130069867,116435,200395617,618,3669506,62317213
342975085,131799858,116176,194681796,599,3647704,63973353
342293379,130921139,108739,197639061,699,3578227,63443270
341609879,131109366,118013,198473623,659,3603352,61546195
328269691,128889060,119194,196491841,600,3607405,60073928
337708062,131233109,109568,199982813,611,3669374,63306939
342208533,132075445,118355,195325335,554,3659954,63985536
343263644,132576573,116086,199925968,652,3589648,64327204
337992973,131666688,120223,198624739,705,3643114,60915637
328449206,128147707,113897,197419837,658,3616275,60280759
342129980,132619861,122885,199044749,658,3683366,64221670
343206055,132546409,117992,197537248,605,3674693,64316465
343127695,131788355,119399,198925191,678,3571162,62859492
332412396,131690892,123704,199288695,687,3651820,60998401
332801043,127721922,113377,196717719,657,3607968,61073887
342180011,131839970,108209,195325776,675,3661132,63732324
342957511,132220882,120402,199529407,671,3626408,64171142
342310942,132124921,118847,198828497,610,3610307,61959480
328954112,130344540,122115,198178802,706,3631486,60851117
337723403,129142221,124682,197620109,610,3624218,62221426
342303539,132245191,115115,195584057,688,3662256,64068485
342749021,131834639,122557,199190070,669,3585239,63773494
337598539,131432705,118581,198603524,650,3635282,60838365
328477350,128940549,123626,199229842,654,3650327,60839471
340992543,129503632,120643,193979445,663,3588671,62613639
342333532,132227349,116367,197164250,633,3666054,64123564
343234571,132123226,124950,199340758,646,3584563,63197831
333642830,132251424,125681,199583681,621,3660169,60961511
332064292,128843530,119693,199015296,646,3651904,61627569
341468827,130354162,123029,193646790,706,3614016,63090043
343065113,133027602,117534,200021076,605,3651882,64495247
342216329,131945502,122942,199496946,681,3612646,62252146
329987058,129570346,120760,197206120,683,3619784,60179430
335540103,129959769,116759,199440470,671,3654938,62368789
341226349,129416745,117350,191839371,652,3591845,62523280
342238465,132210203,121757,199770441,679,3615308,64184551
341083877,131930431,122431,199366688,617,3627492,61680007
328525651,130316056,117930,199459540,659,3648100,60942996
337883361,130686961,127474,199296836,650,3659820,63081381
341497947,130652058,124734,193631578,637,3625283,63217667
343057389,132819679,122232,200679023,664,3598801,64345093
337634916,131372041,125311,198262908,686,3634746,60645712
328728752,128252881,117170,198243433,641,3633884,60603543
342386856,130882140,123378,195875626,656,3626327,63358527
341565908,129341315,128729,194106269,715,3593797,62502449
342082013,132526512,125526,199661412,685,3587287,63406642
333849029,132021462,124258,199546471,637,3657408,61058625
332798784,129550008,121463,199682921,656,3657371,61924981
342057644,130431485,118858,193232616,681,3612639,63249051
341243957,129320697,123801,195959749,643,3570171,62552847
342102860,131745755,131468,199185604,711,3595563,62331297
330529792,131472850,125505,199145183,638,3654499,61243998
335029535,129800135,124686,199624456,653,3653228,62442309
342038766,131616762,122098,194740272,645,3644226,63708265
342087432,130620634,123107,197762110,699,3564208,63169791
340795403,132159642,128487,200036594,705,3643941,61701446
328595994,129926926,127272,199124468,718,3651582,60913509
338404894,131289933,124190,199597828,674,3661544,63394502
342192439,131593993,131943,194777978,632,3646583,63954720
341585738,130658685,119397,198086792,687,3544899,63364993
338140432,131648700,121941,198787561,674,3641359,60969852
328371692,129006328,128296,198677156,721,3650609,60578051
341972912,130925767,126752,196910457,642,3646615,63512768
343166700,132223395,129042,197197551,642,3661928,64222780
342269121,130219600,123722,197453257,746,3536848,61839859
332735323,131902776,128165,199436897,654,3652529,61047398
333178465,129077277,126605,199090781,694,3652318,61876480
342371918,131673779,125144,195273021,661,3655753,63636200
342180649,130930189,126175,197632129,664,3592710,63563822
342895838,131053994,134784,198224421,735,3582071,61660467
328612387,130564030,133035,199681197,657,3660384,61061029
338773459,130903932,120984,199236252,697,3657103,63217638
343321695,131748264,127757,195168777,660,3646369,63973023
341913307,131785790,125795,199140541,723,3572962,63678972
336185164,128417101,132984,194348166,644,3557537,59169384
329647053,128616070,126202,198274843,670,3641600,60862930
342514353,131871855,128858,196602956,648,3654729,63977121
342790505,131843850,132879,197617686,644,3640850,64033077
342369395,131592590,132667,199039398,679,3575916,62672183
331780235,130316126,129730,196875709,753,3613023,60180090
334095966,129585726,128299,199994749,647,3663352,62266017
342028348,131583935,126290,194677826,664,3649358,63724780
343218944,130290240,129166,196479928,681,3564177,63445463
341865299,130740459,129984,197348667,706,3586265,61347988
