command,mean,stddev,median,user,system,min,max
sysbench memory --memory-block-size=1G --memory-total-size=32G --memory-oper=read --memory-access-mode=seq --time=0 run,5.1998977464400005,0.8637057637954553,5.86070763154,4.56504944,0.6343231299999998,4.10495198154,5.97437727354
./p2 sysbench memory --memory-block-size=1G --memory-total-size=32G --memory-oper=read --memory-access-mode=seq --time=0 run,5.501216116189999,0.8113500880442348,6.01427929104,4.85227899,0.65402803,4.28467990754,6.04171873954
