cycles,instructions,dtlb_load_misses.walk_completed,dtlb_store_misses.walk_completed,ept_walk_cycles
47214828,8968277,60750,149200,3152687
60673555,37325,74685,223982,3485829
205325953,75924690,2432858,22145,136740991
238907441,89009493,2825907,76,160745329
238944414,88712389,2816239,77,160174461
238107305,88109966,2797313,77,159117554
238971501,88281861,2803255,78,159484579
239130132,88267446,2802761,79,159489413
238940169,88176027,2799942,80,159280401
238998545,88224883,2801406,77,159197186
238985766,88231486,2801125,76,159252346
238917434,88199339,2800263,78,159291256
238760038,88167657,2799413,81,159123790
238569642,88026229,2794621,79,158933875
241380628,89022141,2826606,76,160804144
238062720,87740849,2785820,78,158401403
239114884,88109718,2797554,79,159138214
239094211,88137773,2799128,75,159184921
239072143,88217545,2800615,77,159276516
238823613,88066557,2796942,79,159065402
238767881,88079400,2796872,75,159073236
239011070,88185916,2800111,76,159273647
239071861,88214321,2800657,78,159353593
241208510,89002293,2825738,81,160801456
241372704,89078778,2827800,79,160869096
238066043,87822463,2788561,78,158586507
238917005,88078630,2796172,79,159033175
238854648,88094554,2797038,78,159066518
238941587,88138455,2798150,76,159198350
238889187,88154668,2798705,76,159241997
238547302,87975116,2793443,76,158921063
241289206,89011105,2826677,78,160745346
238809204,88109501,2797193,89,159077756
238953081,88145771,2798676,80,159137538
238754120,88065140,2796402,76,159075698
237999431,87750580,2785879,76,158443434
238933427,88103087,2797514,77,159034224
238882116,88030232,2795625,77,159057420
239083866,88174375,2799800,80,159243779
238839240,88071929,2795898,78,159116546
238623922,88011736,2793769,79,158943757
238824381,88120342,2797609,76,159155886
238867228,88079090,2796809,79,159117353
241302870,89020065,2826561,83,160764875
238789300,88073367,2796476,77,159022971
240533393,88724033,2817127,76,160170249
238949598,88109315,2797016,75,159084835
238890551,88061978,2795619,78,158983048
238824453,88044773,2795288,79,159028587
238894858,88095974,2796681,78,159043377
238689865,88000040,2794083,77,158890554
241346203,89001960,2826300,78,160737578
238627920,88041115,2795759,80,158921960
239035022,88172958,2799440,78,159277755
238918261,88093877,2796826,77,159063537
238019047,87713972,2784831,78,158448261
241200489,88861840,2821458,79,160501655
238833855,88059064,2795823,78,159029339
238827349,88066070,2795925,76,158938048
238937041,88129310,2798213,77,159163606
238483206,87923191,2791354,78,158746710
241192580,88864498,2821787,79,160516648
241175185,88927250,2823209,76,160587013
241285287,88999294,2825777,77,160726541
238876317,88162573,2798791,79,159176787
238067451,87837879,2788754,77,158580872
238802663,88010859,2793834,77,158875953
238844388,88034388,2794900,76,159008093
241329571,88951554,2824631,77,160610392
238774518,88081954,2796930,79,159135488
238724083,88074273,2796420,79,158943332
241261435,89039037,2826956,79,160834601
238685612,88098485,2797378,79,159131777
241281764,89083583,2828634,77,160894127
241057867,88938473,2824168,79,160639399
240495222,88748660,2817072,83,160254406
241058828,88824795,2820780,76,160467583
238939898,88109842,2797439,76,159062935
241272582,88963706,2824565,77,160667539
241231418,88974603,2825206,75,160684774
238894955,88134967,2798245,77,159142569
238855144,88101720,2797189,79,159089598
238847834,88122428,2797785,78,159119602
238759683,88076052,2796976,79,159121583
241187626,88977956,2824693,80,160712105
238074702,87841785,2789081,77,158588846
241300585,88983391,2825524,78,160697833
238787643,88054445,2795605,78,159043228
241252783,88958436,2824862,80,160656893
238734695,88053887,2795547,78,159044088
238631961,88025584,2794999,79,158923370
238778396,88039069,2795402,77,158989145
241133409,88926072,2823945,77,160663451
241297561,89020127,2826402,82,160701393
238863693,88154296,2798825,76,159241313
238207044,87903015,2790906,77,158737138
238629012,87960871,2792812,79,158862037
238925560,88123017,2797266,77,159061192
238811477,88066597,2796660,76,159056107
241363199,89004208,2825701,76,160675769
238408734,87909845,2791135,77,158653153
241163658,88950128,2823849,79,160638029
241175251,88974091,2824813,78,160688623
241284923,89018484,2825710,78,160757221
241257377,89015414,2826625,77,160750584
238826954,88167502,2799550,76,159230419
240443474,88637679,2813951,78,160074245
238824892,88101515,2797103,77,159090058
241265967,88983709,2824935,76,160650232
241050473,88951400,2824202,79,160598200
238458630,87963894,2792869,76,158865999
241093482,88959025,2825000,82,160643517
241178837,89003510,2826099,78,160664646
241027273,88941479,2823935,80,160640337
241216767,89037053,2826736,79,160754666
241158936,88982120,2825427,77,160731989
240374786,88572238,2813033,76,159937354
241250395,88905085,2822984,82,160566060
241189161,88960669,2824456,85,160657574
240972016,88878662,2821686,76,160520353
238522058,87997994,2793709,77,158886537
240890289,88879665,2821927,76,160429957
241262139,89008501,2826051,76,160766275
241123767,88948424,2824099,81,160576194
238876111,88149801,2798427,79,159198376
238950902,88126520,2798006,80,159172373
240453521,88615204,2813505,77,160073912
241280436,88884935,2822083,79,160482461
241144797,88930412,2823041,77,160623735
238733629,88091056,2797037,76,159152597
238570141,88059126,2795636,82,159103757
241070919,88942430,2824022,79,160651968
241041611,88936488,2823229,80,160608530
241153299,88981826,2824901,78,160638227
240886986,88817061,2819780,78,160374160
241169932,88968543,2824605,79,160627401
240026361,88503852,2809746,77,159827259
238764856,88029774,2795263,79,158960137
240966442,88866013,2822061,78,160487008
240960796,88884818,2821738,79,160536190
238663449,88031691,2794590,78,159015847
240935276,88881092,2822000,80,160549503
238823395,88099147,2797197,76,159069634
241010219,88956503,2824294,76,160592612
238735028,88105130,2797401,78,159133394
239020760,88213289,2800084,81,159324959
237846057,87649957,2782857,75,158314901
238803214,88043719,2795404,79,159028491
238792987,88037519,2795260,76,159040086
238479845,87944922,2792305,80,158843391
238661252,87991267,2793713,78,158888402
238882658,88057762,2795654,77,159012616
238900817,88178197,2799065,77,159205562
239107542,88241530,2801694,79,159342304
238734970,88065664,2796071,80,158996080
238739288,88094520,2797053,76,159107227
238079598,87783288,2786807,79,158434251
238854761,88052244,2796014,79,159094164
241018143,88869900,2821428,77,160508079
240982995,88902327,2823270,81,160511484
238531568,87962840,2793500,78,158912819
241057282,88931931,2823654,77,160600179
241060264,88911037,2822743,78,160577366
241204101,89033208,2826395,77,160783607
