cycles,instructions,dtlb_load_misses.walk_completed,dtlb_store_misses.walk_completed,ept_walk_cycles
3268635,1862,3726,11348,293341
4803482,2753,5519,16590,431862
4493859,2580,5166,15624,396322
2357985,1329,2663,8154,211469
5144215,2952,5918,17792,460703
3324396,1901,3812,11588,293656
4176085,2393,4795,14518,369824
3312860,1911,3828,11570,276313
3480215,2014,4038,12231,262978
5732835,3341,6698,20108,443607
1692213,957,1914,5914,138044
5356794,3121,6254,18748,422251
4513031,2621,5260,15855,347837
2564399,1472,2950,9046,199113
4607890,2688,5385,16192,352828
4349595,2535,5080,15305,337533
3082376,1778,3559,10854,243610
4103735,2385,4784,14379,317669
3284057,1903,3814,11546,251680
5101073,2982,5975,17942,392306
4711073,2762,5510,16850,361308
3616065,2080,4163,12583,291518
3906514,2252,4512,13593,335197
3482648,1987,3972,12087,308763
4815264,2786,5586,16791,407089
4705403,2713,5438,16394,403367
2185912,1238,2478,7654,190028
6000976,3465,6942,20824,525863
3834968,2211,4430,13361,323470
2952799,1682,3359,10184,258468
4599301,2659,5326,16076,385656
3630482,2089,4184,12612,314898
4891494,2826,5664,17003,417233
3092652,1761,3521,10731,267415
5070132,2928,5875,17645,438842
4870051,2814,5640,16934,418924
2388903,1346,2696,8259,215448
5281047,3037,6084,18240,469120
2381917,1347,2699,8282,215609
5001354,2888,5780,17455,428650
5537546,3188,6393,19214,492204
1836731,1023,2053,6471,161223
5480538,3160,6332,18962,474625
4478211,2592,5188,15632,372638
2219477,1258,2517,7714,185632
5124248,2961,5934,17808,451103
3846090,2203,4421,13334,330540
4091547,2340,4685,14045,361730
3774471,2152,4309,13102,341313
4637345,2651,5313,16005,406283
4595771,2630,5272,15919,398279
2966607,1708,3419,10370,235988
3657710,2094,4201,12568,310523
5461473,3136,6285,18775,474366
4177239,2401,4817,14450,363476
2717882,1534,3069,9461,245679
4931079,2844,5703,17080,428319
3666441,2091,4191,12638,325173
3880105,2213,4431,13371,348022
5940221,3402,6819,20375,547135
1816311,1017,2038,6295,165730
5465878,3134,6282,18813,491232
4876481,2809,5631,16938,435550
2016189,1112,2224,6840,185234
5679577,3282,6579,19728,496619
3569485,2030,4076,12251,317099
3132508,1784,3575,10776,280405
4716782,2711,5431,16378,421649
3647360,2080,4164,12636,329412
4346291,2486,4991,14948,384551
3031652,1722,3462,10502,272526
4432690,2540,5093,15267,386748
4914670,2819,5651,16912,427591
2310347,1313,2626,8055,201472
4382820,2518,5045,15260,378149
4973083,2868,5754,17251,432114
1786184,978,1952,6124,166789
6020911,3479,6971,20914,528025
5051458,2916,5847,17577,434649
2069055,1154,2313,7242,184472
