cycles,instructions,dtlb_load_misses.walk_completed,dtlb_store_misses.walk_completed,ept_walk_cycles
120583717,17533308,1105938,39,110842736
120630407,17508941,1105891,37,110837958
120693038,17520381,1106941,39,110788165
120586560,17399574,1107394,39,111012327
120684923,17506740,1107074,38,110854450
119831458,17328863,1099151,41,110016997
120820141,17474934,1107822,36,111022771
121068947,17521509,1110915,40,111145575
120572411,17510325,1105326,39,110751701
121158618,17579776,1111624,36,111233803
120723251,17519544,1107554,39,110899293
120977753,17545832,1109317,39,111202956
118201562,17192369,1083793,36,108513837
120301021,17450476,1103507,41,110515868
120775021,17534113,1108156,36,110879508
120529383,17479368,1104703,40,110563428
120610142,17507144,1105602,41,110737179
120208162,17456985,1102447,36,110366461
120667063,17458164,1107056,40,110860339
120966353,17513003,1110066,41,111145998
120646179,17540840,1105931,38,110805111
120567458,17497503,1105277,41,110785034
121114956,17606096,1110865,38,111105582
120421240,17441299,1104731,37,110507832
120789507,17542577,1107300,43,110921332
119888813,17350159,1099288,37,110123572
120767828,17495364,1107058,39,110917236
120635091,17478509,1105697,41,110740317
120750287,17552208,1107534,37,110894228
120943918,17529247,1108512,39,111056204
120748129,17523419,1106236,40,110920395
121172629,17558634,1111290,37,111325969
118178945,17181396,1082513,39,108491835
121272257,17590564,1111904,37,111353635
121041992,17577328,1109814,39,111157369
120790195,17500882,1108482,39,110881241
120694522,17539166,1105921,38,110764722
120595718,17509190,1104797,39,110697457
120651707,17487118,1106887,40,110852457
120646437,17385871,1106861,37,110898819
120598095,17536222,1105661,42,110624898
120637684,17504075,1106781,39,110736299
120643657,17531168,1105875,36,110782284
120693349,17472858,1106993,39,110822128
120484184,17529649,1104341,36,110552507
119852427,17330196,1099446,39,110150328
120694777,17528317,1105796,40,110884254
120598613,17443531,1106093,37,110760692
120791522,17539105,1107741,40,110874948
120569106,17489319,1105037,40,110740492
120729412,17546141,1105928,36,110777587
120616024,17450538,1106700,39,110748642
118146378,17188587,1082516,36,108329889
120651787,17499766,1105352,39,110769530
120650559,17547537,1105416,40,110709241
120451148,17433673,1104800,36,110565665
120650160,17554295,1105645,39,110749643
120361803,17445670,1103433,36,110563159
120639079,17543507,1105542,39,110663568
120494521,17451871,1105429,39,110604325
120634367,17540403,1106311,38,110727525
120719907,17519857,1106953,40,110827647
120267549,17460396,1102496,40,110420903
120573943,17435533,1105856,37,110674697
121078245,17592394,1110185,39,111050490
119968657,17351400,1099220,41,110248840
121236810,17585480,1110632,38,111261308
120659042,17450631,1105823,40,110777759
121228273,17611118,1111072,40,111241875
120616319,17501904,1105481,36,110661939
121163445,17609010,1110163,41,111203324
120499420,17482995,1104710,38,110529101
118108478,17176466,1083192,37,108330658
120677317,17529960,1106518,38,110737432
120785704,17548931,1107063,39,110872217
120663261,17545863,1107707,39,110757078
120715752,17579311,1106155,36,110696602
120588005,17421708,1106712,40,110692480
120762381,17467681,1107536,40,110883676
120622740,17503578,1107196,36,110687579
120554845,17526612,1106099,40,110628237
120645524,17526364,1106761,40,110635982
120654893,17530331,1105416,37,110572877
120539981,17503486,1105723,41,110647254
120595175,17542732,1106107,38,110718234
119823687,17341045,1098999,38,110137667
121092882,17573143,1109510,41,111241365
120665910,17501037,1105976,38,110768449
121227450,17524782,1111443,39,111225086
120590309,17411819,1106530,41,110609366
120573997,17520008,1105196,37,110603318
118022435,17148660,1083202,39,108382865
120575296,17531819,1106673,36,110697342
120682881,17545398,1107372,40,110771558
120566839,17452150,1105811,40,110628809
120547899,17430232,1105976,37,110715956
120692822,17516661,1106521,40,110793632
120545815,17507981,1105593,39,110660640
120584883,17525340,1105638,37,110700784
120684987,17532967,1106126,40,110794111
120597360,17513654,1106130,39,110575231
120662896,17521527,1105982,36,110669798
121438818,17606127,1112643,39,111470658
120540918,17496542,1104767,39,110599007
120670638,17535942,1106379,38,110685656
119855589,17318261,1100387,40,110099194
121000042,17533215,1108710,38,111120604
120673123,17511080,1106019,38,110676152
121062382,17570632,1109889,40,111044328
120667584,17531850,1105574,37,110704392
121058358,17575871,1109036,41,111147473
118171672,17168376,1083192,39,108420358
120461649,17503578,1103864,37,110543137
120654408,17522644,1105260,39,110682049
120625248,17530145,1105516,37,110674510
120644372,17543755,1105524,40,110650153
120514704,17502959,1105003,39,110646755
120597578,17529742,1105257,36,110578714
120952740,17571841,1108254,42,110972533
120647059,17535633,1105050,40,110652150
120552830,17406920,1106403,36,110691498
120723280,17539136,1106645,40,110780923
120526378,17487924,1105134,39,110612494
120756248,17535415,1105850,37,110787905
120523203,17500324,1105243,39,110598216
119934011,17349973,1099211,36,110062254
120858631,17504416,1106818,40,110802135
120605819,17516072,1105109,39,110701128
120552695,17489411,1104833,37,110616140
120602566,17542763,1105330,40,110574566
120431292,17483739,1103034,39,110518837
118021492,17154487,1080992,38,108056759
120695667,17542287,1107607,39,110757926
120607369,17538495,1105612,36,110597437
120255424,17460861,1102244,39,110286374
120736931,17527107,1106407,36,110777043
120255085,17428528,1102372,39,110351423
120538470,17513282,1105106,39,110684207
120597556,17508414,1105235,38,110639334
120625315,17541058,1104670,40,110628474
120937399,17551939,1108738,39,110933965
120647885,17546389,1105710,36,110628918
121230076,17580304,1111167,39,111208598
120641182,17507423,1104058,39,110571682
120653293,17497375,1105342,37,110659531
119798370,17343405,1098562,40,109841490
120504197,17459094,1103778,38,110599606
120660673,17424776,1106382,38,110814362
120599716,17465511,1105539,39,110684663
120703786,17550419,1106391,36,110737935
120907065,17541585,1108655,40,111070427
118126912,17157308,1081842,36,108313561
120519108,17498991,1104854,39,110613980
120628517,17516351,1105276,41,110747354
120629689,17501749,1105922,36,110684341
120638879,17530673,1105258,42,110655499
120482854,17467247,1104424,39,110515510
120629730,17544126,1106108,38,110565406
121027306,17559906,1109342,42,111073902
120656464,17552652,1105711,40,110584420
120536430,17499300,1104117,38,110510009
120515856,17506152,1103772,41,110571191
120606503,17501005,1105433,36,110671312
121692887,17691904,1114638,39,111651050
120688271,17515886,1105898,39,110728374
120080494,17381346,1100509,38,110110661
120705836,17483490,1106340,38,110650585
120819526,17554078,1106064,39,110770657
120760216,17506244,1105615,37,110759720
120747212,17546173,1106046,40,110683644
120676375,17523636,1105347,39,110664279
118181665,17184185,1081580,36,108399226
121068571,17568338,1108939,39,110915938
120747549,17556433,1105618,36,110731724
120952959,17531727,1108370,40,110929872
120341731,17477508,1101812,41,110394649
121076508,17563408,1109569,36,111003152
120719054,17552156,1105893,40,110679695
121052277,17560712,1109261,39,110951979
120734377,17563997,1106763,37,110858520
120369901,17346564,1104871,40,110636481
120685958,17497131,1105922,39,110772709
121244466,17550388,1110665,36,111380004
120701027,17526302,1105473,41,110704341
120471735,17478066,1103369,39,110447457
119982804,17375610,1099136,36,110140813
120554996,17380199,1104414,39,110612338
120619562,17451871,1105250,39,110683506
120642728,17491023,1105432,37,110735658
120696331,17552001,1105665,41,110657713
118014272,17112637,1081327,36,108232237
120693853,17547289,1105279,39,110615727
120607673,17403076,1105546,37,110719876
120641419,17449639,1105216,40,110540641
120597632,17468673,1104236,40,110576367
121085192,17586286,1108770,36,111029431
120525746,17486064,1104141,39,110567711
120576724,17555411,1103629,39,110483801
120544975,17504508,1104255,36,110512217
120604879,17528720,1104993,39,110518734
120628203,17490528,1104987,41,110520391
120744538,17508135,1104795,37,110679620
120460597,17478035,1103015,40,110397982
120544155,17520008,1103656,36,110511425
120527728,17479895,1104599,39,110550146
119837272,17340705,1097808,43,109999975
120511889,17441888,1102926,37,110532695
120644533,17499208,1103968,39,110612767
120570454,17480205,1102889,38,110630230
121265377,17591804,1109928,38,111273323
118135723,17147699,1081894,39,108319482
121203788,17608378,1109539,36,111088991
120705499,17505388,1104386,39,110709153
120902555,17549428,1106591,40,110797457
120743230,17510026,1105415,36,110637185
120770528,17527314,1105679,40,110722124
120717959,17512518,1105073,40,110718877
121180894,17597818,1110083,36,111236288
120642092,17498526,1104645,39,110581986
121070747,17588519,1107743,39,110945695
120695126,17504694,1105090,38,110666019
121061466,17489505,1108827,40,110961751
121642732,17598532,1113926,40,111626254
120672957,17514955,1105173,39,110708638
120533590,17500386,1103859,39,110567197
120404000,17394676,1102273,41,110494914
120695934,17507546,1104872,37,110693108
121179884,17597912,1110264,40,111215340
120573957,17499580,1103412,41,110590530
120611988,17514428,1104378,37,110571255
117976307,17112359,1080538,40,108242246
120606945,17497068,1104118,36,110509967
120673245,17510337,1104307,41,110615228
120450692,17375548,1104825,36,110701623
120708745,17512290,1105615,39,110760098
121091565,17565145,1108306,39,110988049
120733150,17521310,1105529,36,110773273
121153025,17574848,1109612,39,111081615
120572044,17523884,1104405,39,110507435
120672995,17509096,1105870,38,110606137
120598122,17509283,1104218,40,110495946
120382220,17460706,1102019,39,110412303
120628382,17524224,1104761,37,110649674
120573576,17485661,1103680,40,110571860
120679393,17521962,1104860,38,110581125
119657075,17253687,1096784,40,109858692
120657172,17483367,1103988,40,110673750
120664675,17483831,1104680,38,110724136
120577074,17497875,1103831,39,110535873
120432860,17469572,1102406,41,110422771
118059909,17144691,1080813,38,108177895
120885373,17527976,1106814,40,110853449
120627099,17522736,1105226,37,110658141
120410501,17443966,1102619,41,110386185
120186815,17457079,1100767,39,110213182
120414171,17468362,1103070,36,110404318
120604520,17516506,1103665,40,110560416
120812239,17544002,1106391,38,110714701
120666694,17527511,1105296,40,110655942
120192561,17415322,1100799,39,110249445
120567983,17484761,1103116,37,110632352
120522694,17477880,1102960,39,110453506
119611978,17352577,1094701,38,109703284
120599278,17479182,1103946,38,110547003
120790524,17531355,1105194,39,110828223
119942212,17297707,1098800,37,110075436
120737776,17528255,1104540,39,110579913
120685141,17489536,1104747,39,110714671
120779735,17526611,1105210,37,110616125
120799218,17367365,1106816,40,110785016
104582189,16096271,1018240,37,95515039
119535978,17363304,1097268,39,109787701
120842906,17570539,1105552,39,110686703
121126328,17591618,1109800,38,111144872
120730863,17539384,1104533,39,110694760
121014577,17548808,1108374,41,110989111
120849204,17590471,1106822,36,110870450
121156648,17608080,1109768,39,111105915
120702420,17538888,1104625,38,110672719
121166801,17589758,1109584,36,111159278
120942416,17560712,1107491,39,110997543
121059548,17569113,1108892,39,110964551
120821253,17590347,1105842,36,110769836
121172565,17597602,1109823,40,111187153
120713017,17572864,1104463,40,110650724
120409783,17385251,1102955,36,110601732
120871127,17570539,1105510,40,110768702
121103215,17579684,1108731,40,111185077
120848847,17578536,1105751,36,110836661
118524600,17221820,1084347,40,108615976
120825341,17581264,1105647,37,110826742
121077128,17591371,1108774,40,111163824
120490216,17536997,1102777,40,110502902
121258421,17608296,1110703,36,111186874
120726709,17558139,1105381,39,110821531
120990980,17563812,1108173,40,110974614
120842570,17587092,1105630,36,110790205
121039320,17585512,1108060,40,110985066
120714400,17526860,1104292,39,110659382
121142210,17587030,1109256,36,110923426
120752250,17564060,1105058,40,110761520
121150424,17587000,1109366,39,111161741
120992005,17560153,1106353,36,110941884
121046575,17574135,1108572,40,111094875
120760933,17567904,1105548,39,110843800
120240219,17358498,1101875,36,110406892
120797378,17549924,1104769,39,110678132
121077700,17561084,1108415,39,110965613
120768607,17571127,1104968,36,110634771
118421459,17201422,1084560,39,108442226
120799761,17573173,1105093,36,110769310
120867869,17554450,1106874,40,110844294
120688173,17561115,1104206,41,110602496
120751520,17547722,1105465,36,110756306
120675721,17563812,1104308,40,110685814
120872843,17427908,1108893,39,110992210
120851816,17597415,1106585,38,110714458
120600189,17493101,1104372,40,110650681
121142252,17620852,1108835,38,110984948
120439104,17501532,1102924,38,110469600
120692513,17558697,1104804,40,110670735
120586971,17521186,1103742,37,110606461
120729627,17495085,1105782,42,110731590
120607039,17369907,1105008,40,110709027
120673470,17528533,1105319,36,110685620
119854199,17309054,1097553,41,109993369
121213653,17620480,1108973,39,111204657
120652221,17520566,1104537,37,110687638
120564199,17516971,1102784,39,110496878
118072776,17140878,1081080,36,108291690
120492512,17526209,1102092,40,110491503
120604859,17531727,1103841,38,110475935
120573880,17505438,1103221,39,110557822
120610867,17511701,1104382,40,110559575
120628828,17536159,1104141,36,110590401
120520822,17499580,1103252,41,110506028
120550859,17478221,1103815,41,110588672
120696260,17518675,1103948,36,110643062
120616423,17525093,1103652,40,110528576
120630365,17535664,1104349,38,110641296
121185592,17575095,1108851,37,111046313
120803331,17530704,1105502,40,110904679
119791015,17396504,1096718,36,109943522
120597611,17502308,1103439,40,110627064
120605193,17476175,1104596,41,110656863
119909369,17317299,1097483,37,110025921
121047241,17560495,1106792,39,111008481
120658008,17523295,1104571,40,110542171
120630654,17497387,1105282,36,110649782
118053706,17160617,1080603,40,108270335
120596522,17539197,1103927,36,110506456
120626804,17539880,1104741,40,110521525
120538571,17470657,1103434,39,110630960
120641277,17521961,1104130,38,110606720
121130427,17618930,1108857,41,111112733
120696097,17548714,1104598,37,110618334
121457312,17592425,1111055,40,111400963
120735865,17530301,1104695,39,110676684
121019782,17563037,1108379,39,111123614
120688846,17529432,1105279,37,110835192
120562800,17474966,1104030,39,110508401
120665359,17541274,1104097,37,110681176
120499752,17508384,1103224,39,110598391
120676199,17553458,1104240,40,110595161
120618964,17473663,1103803,37,110624341
119857530,17314200,1096977,40,110047913
121217051,17597602,1109557,40,111232874
120622009,17520876,1103094,36,110590986
117969747,17091279,1080535,41,108195074
120697072,17460209,1105159,37,110598177
120332066,17422266,1102048,39,110428527
120677545,17538391,1103982,36,110602107
120367949,17443346,1102871,39,110412055
120660647,17521962,1104360,39,110710845
120545558,17509034,1104205,36,110564450
120616624,17522427,1103145,39,110575712
120426831,17446694,1101812,40,110376121
120666390,17532160,1105563,38,110619585
120672719,17508167,1104254,40,110632178
120623815,17506214,1103435,38,110633817
120662567,17491457,1104803,37,110533437
121084506,17574104,1108644,39,111068818
121598105,17600474,1113490,38,111525815
120752979,17547919,1105449,40,110717584
102698125,16164534,1024896,40,93906673
120085578,17354283,1098702,39,110132519
121048277,17545521,1107747,37,110985335
120713792,17544406,1103620,39,110561781
117917121,17087806,1079480,36,108161245
120657038,17532564,1104023,40,110396725
120611041,17520008,1102765,36,110505723
120697275,17557302,1104323,39,110436130
120513220,17461574,1103333,39,110478414
120772378,17534888,1104344,37,110515241
120804500,17553334,1105687,39,110658709
120694022,17550203,1103626,39,110615872
121069907,17549923,1107852,37,110903348
120668580,17536315,1104071,39,110610033
120582494,17510120,1103056,40,110493056
120757493,17537895,1104570,36,110507406
120574181,17483398,1102928,42,110502309
120639789,17546762,1103809,38,110481516
120705866,17534485,1105329,37,110594938
120702276,17552497,1104444,40,110581059
120717336,17486187,1104607,36,110653142
120029089,17337791,1097826,39,110124325
120985794,17544716,1105651,40,110799384
120701819,17545025,1103446,36,110534282
118525777,17187503,1085105,39,108714162
120656291,17499362,1104096,36,110540362
120584379,17495519,1101732,41,110427740
120443397,17496356,1100285,43,110224814
120568838,17464053,1104285,36,110556727
120305381,17453328,1100548,40,110110200
120536452,17375983,1104657,39,110456552
120666631,17536531,1104070,36,110557164
121259573,17563905,1108671,39,111190347
120726751,17499425,1104079,39,110531479
121103341,17577420,1108277,36,110970215
120652606,17530239,1102618,39,110604426
120677395,17503331,1104144,39,110505188
121327537,17608513,1109923,38,111094911
120508007,17457544,1103060,39,110319085
120873068,17535137,1105753,38,110844588
120648878,17419475,1105174,38,110608462
120097573,17337543,1099002,39,110006579
120584950,17470315,1102568,37,110496331
120721823,17542577,1103275,39,110591118
117934500,17082474,1078026,39,107865806
120594125,17472145,1103548,39,110498867
120980511,17561952,1107029,39,110904050
120683437,17570786,1104633,36,110589729
120553996,17502928,1103605,41,110432279
120650533,17501750,1104002,39,110597637
120608389,17494712,1102552,37,110582420
120656713,17538516,1104068,40,110539234
120713820,17523388,1105664,40,110708540
120739551,17469354,1105669,37,110684021
120659392,17500495,1105091,39,110682990
120678160,17511003,1103947,38,110571144
120985718,17550171,1106901,37,110911009
120801631,17532967,1105090,39,110657929
121177285,17591867,1108415,39,111052226
120984868,17573979,1107169,38,110753284
120980600,17531634,1107556,41,110877102
119996914,17282704,1097843,40,110008192
121192231,17579900,1108654,38,111207994
120782623,17575158,1103846,39,110698291
118033168,17190478,1079978,37,108138248
120715643,17534486,1104831,39,110676826
120743228,17556496,1103713,39,110569746
120584646,17518737,1101582,37,110348804
120744403,17558697,1104002,39,110604926
120609272,17489721,1103796,36,110497150
120797106,17534083,1105060,39,110708631
120795487,17553954,1105171,41,110758598
120842427,17578164,1105093,36,110618692
120889079,17514181,1105828,39,110881727
120792076,17578785,1104694,41,110743901
120993819,17475647,1107073,37,111001056
120782078,17457265,1105037,40,110800233
119302827,17237537,1092400,40,109397565
120620650,17497502,1103291,37,110518578
120688412,17537772,1104085,40,110562795
120555448,17538732,1102884,36,110469721
120107056,17339713,1098930,39,110201574
120793962,17545057,1104059,40,110529977
118216752,17183844,1081045,36,108288743
120681708,17545584,1104074,40,110595346
120793900,17519078,1104748,36,110632909
120632266,17547196,1103065,39,110438711
120691531,17553613,1103925,40,110656819
120725636,17556929,1103972,37,110519200
120558131,17492698,1103018,39,110537115
120604345,17531572,1102420,39,110484640
120686712,17552093,1103209,38,110498060
120669209,17560743,1103584,39,110465393
120700675,17517808,1103615,38,110467717
120686553,17538205,1103057,36,110574772
120612145,17533060,1102672,39,110474843
120640611,17558829,1103345,38,110513436
120676452,17527099,1103589,38,110638738
120522440,17540779,1101275,40,110339986
120718455,17554883,1103909,36,110603528
119805798,17420561,1095697,39,109598097
120839395,17481414,1106291,40,110787776
120756943,17552279,1103690,36,110544147
118134329,17174018,1079871,40,108259101
120772691,17554573,1104219,36,110629427
120685696,17526581,1103851,39,110562583
120667306,17534083,1102852,42,110472007
120731000,17538794,1103564,38,110607853
120373208,17490528,1100134,39,110274559
120803570,17537090,1104559,38,110727168
120793811,17559595,1105577,36,110753850
120674348,17553489,1102957,39,110493528
120760695,17563781,1105069,39,110713240
120749392,17541863,1104143,37,110504137
120748794,17541957,1103538,39,110521111
120979327,17585511,1107095,37,110900375
120852667,17569330,1104546,41,110573096
119743162,17373627,1095731,39,109707782
120769647,17530021,1104928,36,110675768
120693976,17536315,1104974,39,110601749
120102861,17451964,1098845,39,110058871
120725020,17424807,1105237,37,110843914
120665529,17463961,1103771,40,110479095
118263428,17189982,1081244,38,108363818
120532966,17526829,1102606,39,110364998
120677707,17514491,1102832,39,110410275
120702812,17545025,1104451,36,110530049
120738694,17551784,1104205,41,110544775
120597829,17526115,1102291,38,110491331
120661624,17511360,1103660,37,110499796
120524913,17502029,1101670,42,110328382
120724356,17566849,1104414,36,110566663
120557186,17503409,1102914,40,110539753
120727081,17535617,1103740,39,110615386
120765769,17540220,1104347,36,110644794
120663529,17533029,1103702,39,110533395
120676492,17546142,1103329,39,110492380
120637347,17538391,1103046,38,110419777
120595285,17483336,1102968,40,110498291
120635528,17533307,1102600,37,110468593
120064470,17451375,1098173,40,110020170
120842357,17501626,1104684,39,110714797
120823254,17527541,1105341,36,110619584
119258245,17343371,1090015,40,109198657
120778844,17546669,1103734,39,110696743
120666123,17552868,1103658,37,110556221
120415294,17469138,1100713,39,110219631
120737701,17564649,1103768,40,110623298
120400488,17512103,1100924,38,110257618
120787497,17559441,1103830,39,110712410
120731132,17534516,1105711,37,110717748
120909977,17557860,1105163,39,110684576
120682579,17535385,1102915,39,110518524
120799749,17564431,1104571,37,110513687
120733970,17512879,1103505,40,110510272
120737862,17533370,1103063,39,110543129
120785995,17535973,1104333,37,110630739
120789486,17528689,1104288,40,110674014
120652670,17483925,1103520,39,110635428
120703486,17556643,1102877,37,110506181
120041303,17372084,1098375,39,110110661
120722531,17417926,1104155,39,110707393
120870485,17509840,1105529,39,110829239
117869075,17123798,1077290,39,108015771
120687593,17541429,1103350,36,110544666
120619260,17543476,1102620,39,110448444
120700489,17412997,1104196,39,110548950
120668175,17466068,1104457,37,110561484
120590733,17509748,1102463,39,110340640
120579256,17544591,1103325,36,110405575
120627372,17475214,1102727,40,110444508
120645416,17524380,1101970,40,110503299
120710318,17560029,1103107,37,110545942
120570782,17521931,1102048,40,110456731
120644282,17504416,1102905,39,110487830
120577122,17523418,1102812,36,110325093
120634917,17549397,1103510,39,110467414
120668767,17562416,1103787,36,110493467
120641625,17499177,1104096,40,110463894
120581838,17543321,1102592,39,110448113
120118260,17441299,1098407,36,110015761
120759564,17486622,1103332,39,110721685
118097755,17134523,1080095,36,108162948
120713824,17534734,1102587,39,110519897
120677044,17537772,1103498,39,110583539
120712114,17557983,1103570,36,110613025
120671758,17482876,1103520,40,110576089
120452393,17512440,1101631,39,110358353
120760197,17552310,1104236,38,110639251
120758904,17561301,1104256,40,110593192
120720269,17528751,1104132,39,110618698
120727689,17555038,1104118,36,110590864
120717139,17564866,1103532,40,110563617
120759431,17564277,1104485,38,110562297
120694006,17506151,1102919,38,110595473
120727857,17572275,1103115,39,110507457
120790129,17565702,1103849,37,110510011
120688813,17515514,1103529,39,110579413
120619944,17494682,1104093,41,110435183
120614512,17539228,1102865,37,110405055
119906838,17367768,1096841,39,109868573
120793653,17511763,1104199,40,110727330
118282623,17170948,1082519,37,108440491
120797285,17182574,1109305,39,110947055
120761507,17555038,1104059,36,110524183
120767505,17584830,1104881,40,110644241
120674139,17530022,1104563,40,110602702
120710548,17548466,1103466,36,110604030
120546827,17530084,1102429,39,110484924
120631570,17559503,1103617,39,110568638
120635202,17510460,1102881,37,110569833
120623394,17513902,1103554,39,110527594
120825283,17587278,1105718,38,110592094
