cycles,instructions,load_misses,store_misses,ept_walk_cycles
23127710,8953076,2506656,2027560,1605770
165632,92,432,12118,11999
12959587,7788,32952,1036134,694243
52994165,32591,130568,4334214,2785568
27181635,16643,67261,2212854,1479090
5095451,3010,13279,400064,357336
4085726,2405,10861,319732,291461
5161934,3044,13288,404734,361358
5231151,3090,13728,410704,367338
4700030,2770,13053,368149,334539
5078734,2994,13208,398335,375032
5024102,2960,13211,393813,360736
3690828,2174,9528,288808,253776
901118,493,2511,65674,65581
779531,420,2249,55985,57117
2682928,1552,7024,206526,193743
4885630,2881,12550,383173,351484
5253511,3103,13533,412300,372011
5253073,3105,13567,412699,368806
5556266,3278,14323,436240,403043
5425475,3200,13959,425206,395315
5657383,3351,14593,445683,387898
4028365,2361,10712,313920,284582
818343,448,2370,59684,60032
829544,449,2379,59674,59851
2023184,1169,5618,155419,142984
5652059,3344,14574,444885,390305
5585305,3299,14710,438511,394874
5116163,3014,13408,400734,369221
4824379,2851,12388,378789,338539
3135777,1848,8154,245518,220289
3203097,1887,8294,250838,219688
198870326,103731122,75421354,25509,3217943
240375477,123289517,89664740,53,3762132
240007154,123380198,89732046,52,3707688
240118800,123112162,89535732,105,3737862
239500433,121893229,88649863,52,3700126
239994031,120776575,87837861,52,3678470
240358875,123816051,90047867,104,3783408
239048537,120712566,87791399,52,3686869
237156712,120999754,88000085,52,3692607
239901507,122067413,88775884,104,3725427
240000075,123513188,89828218,52,3755672
239065053,119489091,86901244,52,3678627
238026884,121333846,88243156,52,3657330
238310487,120864057,87900942,104,3693674
240530775,123746443,89997707,52,3754573
239538790,122167811,88849013,52,3657776
239936295,121849492,88617917,104,3730901
239721273,122988642,89446520,52,3704338
237157266,120255241,87458745,52,3642514
239694639,122029001,88748250,104,3734276
238740885,120728725,87803261,52,3656599
237622626,121639085,88464893,52,3723221
240301768,123512154,89827376,104,3761839
240197656,122081736,88786586,52,3725593
239963141,125065002,90956243,52,3725054
239530144,122650774,89200443,105,3737697
239796237,121466135,88339323,52,3726253
238234643,121949043,88690607,52,3723211
238134047,121867377,88630814,104,3705412
238281168,122625942,89182757,52,3702613
239668031,121897286,88652640,52,3704765
239075657,120923853,87944508,104,3665580
240406511,123119267,89541468,52,3751966
240053146,122281616,88932153,52,3706121
240447516,122848974,89344729,104,3768544
239600163,121805713,88586452,52,3701257
239706100,123949085,90144790,52,3742537
239582665,123537090,89844907,105,3775067
237447138,121938589,88683296,52,3691054
240037850,123279528,89657758,52,3726463
239701893,122130003,88821934,104,3720709
239737572,122487043,89081678,52,3714394
240358966,123711231,89971967,52,3742928
239672243,122613331,89173421,104,3716968
239759511,121347156,88252228,52,3688866
239440294,122149715,88836630,52,3728096
238315506,123184388,89588812,105,3719709
237930202,123263336,89646197,53,3720742
