cycles,instructions,load_misses,store_misses,ept_walk_cycles
92688443,56776159,37262353,1880359,2880321
239925022,152303183,110761454,1355,4045699
239784901,152949589,111231973,1406,4003846
237681998,152961259,111239587,1353,4002820
237755600,152926651,111214622,1404,4058637
237771560,152888582,111186922,1353,4001935
236563774,152501515,110904972,1404,3989527
240133212,154937226,112676378,1405,4045528
238127343,153456011,111600500,1352,4037334
240059931,155118988,112808897,1404,4040472
238544523,153645208,111737538,1405,3976767
238444174,154351126,112250427,1352,3986910
238591130,154171777,112119549,1404,4005491
238565271,153499280,111631108,1404,4014598
239435242,154809334,112583706,1404,4051595
236583704,152175959,110667926,1352,3969191
237600838,153484123,111620259,1404,3978025
238085445,153432723,111582410,1353,3957436
239120504,153864765,111897746,1404,4005813
239292986,154455213,112326147,1404,3952105
239231598,154344949,112246288,1353,3941452
238865638,154393798,112281376,1404,3980558
238916937,154400948,112286777,1404,4021701
237949915,153211650,111422101,1404,4020106
237741216,153150823,111377185,1352,3999949
237392568,152983247,111255168,1404,4032189
240206068,155241645,112897465,1404,4117754
238755495,153898328,111921072,1352,3970077
237634810,153200683,111414001,1404,4020429
238812196,154446928,112320031,1404,4012071
237928651,153783370,111837758,1352,3997281
239796618,154571063,112410540,1404,4040971
237918891,153149969,111376521,1404,4057933
237766405,153868046,111899272,1352,4002531
237653110,153145054,111372967,1404,4005402
237530660,153362245,111532041,1352,4002023
237637237,153470120,111609059,1404,4014794
237615852,153391794,111552286,1404,3988903
237032206,152607444,110982684,1352,4042323
