cycles,instructions,load_misses,store_misses,ept_walk_cycles
5826146,3419,15535,454727,442257
6113643,3583,15899,476140,472138
5307932,3119,14469,414704,395801
2766754,1596,7481,212062,220329
751826,411,2083,54723,65118
1105529,607,3030,80535,93298
1170621,624,3282,83177,102177
1586273,885,4227,117830,133311
5559893,3257,14767,432531,432511
5952446,3481,15675,462707,469248
5818751,3410,16043,453269,445988
5291766,3099,15347,411773,405211
5476976,3209,14284,426669,425712
6008596,3521,16060,468160,457976
5613292,3282,14789,436240,444546
3219407,1853,8539,246411,254017
1031312,552,2860,73546,87004
1050578,568,2923,75669,90508
1501705,828,4179,110284,124321
5284946,3102,13833,412305,406243
6017175,3528,15784,468697,462383
5787917,3394,15120,451402,439315
5484920,3218,14549,427472,416815
5373522,3153,14872,419216,400527
5320533,3120,14005,414965,400315
799086,426,2337,56527,67773
2167283,1240,5899,165030,170943
5701779,3340,15145,444230,446018
5804426,3399,15505,451944,445977
5538888,3245,14703,431191,425000
2207098,1269,5782,168724,177255
948201,512,2600,68191,85522
5227567,3058,13864,406453,410161
3440796,2001,9394,266005,271568
3958515,2297,10781,305418,310349
3266106,1886,8927,251011,262383
3774931,2196,10247,291842,297095
5490131,3224,14505,428659,418445
1388877,784,3692,104347,110325
5515363,3233,14995,429861,416503
5066981,2960,13334,393720,393732
2056495,1163,5525,154982,162935
5441316,3198,14400,425078,403676
1619975,888,4282,118184,127085
5038365,2961,13770,393823,371828
4490827,2625,11890,348884,336039
2801066,1603,7392,213314,217334
4340103,2528,11812,336018,332388
3660843,2105,9790,279744,286409
4208288,2450,11611,325624,327818
2620630,1515,6956,201545,202216
3744338,2187,10125,290906,280138
5020935,2952,12967,392488,378456
3774877,2196,9761,292098,289122
3728235,2161,9676,287197,290194
3535730,2042,9851,271794,273516
3367356,1966,8814,261380,254908
5290744,3111,14425,413763,391121
1348634,743,3633,99047,106580
5743076,3363,15157,447018,440727
3850924,2249,10331,299162,294190
3650336,2123,9762,282158,283810
5020912,2935,13416,390252,389456
2117561,1221,5686,162443,170367
4314678,2508,11555,333481,356261
4699924,2721,13026,361780,403850
1941532,1104,5293,146912,170721
5736828,3327,15298,442496,495632
3282934,1882,8747,250391,285715
3119269,1795,8317,238642,268334
5786311,3358,16151,446486,489628
