cycles,instructions,load_misses,store_misses,ept_walk_cycles
163706450,214851790,152155084,941427,684261
237705856,318397893,231478067,22932,65661
239346378,320636563,233106782,23142,50372
239970630,321399403,233661483,23140,61357
239444990,320725363,233171827,23140,54807
240344395,322007486,234103157,23192,52429
239450952,320782714,233212980,23140,47493
238454017,319382322,232194906,23036,78985
239357795,320678989,233137477,23140,51241
192700081,251194804,182659177,18096,772109
217690517,288440414,209695354,20800,378255
237903169,318649325,231662142,22932,48553
239615016,321047694,233405606,23192,48556
241309364,323262214,235016072,23296,47645
240566773,322270650,234294334,23192,50207
239507329,320897078,233296340,23140,44550
239412512,320753409,233191684,23140,48600
239980612,321471260,233713694,23192,61868
240509352,322209147,234250786,23192,46398
