cycles,instructions,load_misses,store_misses,ept_walk_cycles
31892869,8958674,2529008,2775256,1732034
52702149,32382,129827,4305491,2771631
52189288,32080,128785,4265847,2742831
51677569,31757,127408,4222504,2709779
33033583,20233,81446,2690083,1786975
2976687,1730,7804,230090,237685
1356064,776,3551,103002,107300
1318933,762,3357,101346,103669
3580007,2091,9174,277980,271321
3568632,2086,9117,277438,273689
4176957,2437,10815,324121,320777
3430895,1997,9114,265611,266605
4079405,2371,10607,315358,314436
3343686,1931,8516,256833,258023
858718,460,2443,61335,72972
809253,439,2239,58482,68349
2393931,1373,6096,182679,186448
4336123,2526,11096,335963,347860
3438795,2004,8750,266404,276182
3719352,2161,9601,287280,304379
5090673,2964,13680,394212,417393
5297377,3100,13953,412300,409844
5910074,3457,15772,459648,465304
5390143,3138,13852,416965,442802
2651225,1527,6829,202890,208914
959994,514,2657,68733,83092
4906018,2881,12682,382957,379416
5215469,3057,13416,406191,394152
5547228,3235,14635,430118,437827
5711845,3322,14866,441560,464870
1034374,552,2855,73566,88569
923564,497,2564,66053,78724
834206,448,2293,59689,74095
819100,441,2255,58620,70848
5008350,2905,13566,386553,405598
5718066,3332,14874,443023,454444
5965925,3480,15367,462574,475007
6207479,3633,16110,482657,480483
5690758,3320,14764,441560,448957
5564425,3244,14135,431324,438544
5241211,3062,13998,407123,404428
4682272,2736,12267,363918,353185
811389,432,2274,57591,69836
977234,512,2798,68276,86362
837579,448,2320,59694,71927
4945971,2898,12963,385173,373650
5194286,3040,13685,404320,399321
5192260,3050,13515,405389,386364
5928937,3464,15318,460712,464523
5324592,3122,14144,415359,398815
5720153,3353,14815,445683,436685
4469688,2607,11625,346618,346552
888852,477,2505,63566,78408
2569407,1479,6732,196812,199686
4428112,2597,11259,345268,331395
5266508,3094,13676,411369,390714
5704820,3334,14781,443555,447238
3389909,1958,9038,260178,276850
898530,488,2474,65029,76644
3723615,2152,9626,286306,300053
4966576,2921,13125,388360,365741
5304536,3090,14312,410709,425521
5509089,3200,15170,425600,449999
2146823,1200,6074,159765,179443
929197,512,2603,68181,78884
912777,488,2490,65019,77145
20080312,17848338,12965187,124361,634087
235496505,188135706,136825290,54,5303769
236977381,193047705,140399200,53,4976492
240032099,195592499,142249377,53,5008326
237724241,193760414,140916349,53,5028844
238456541,194531145,141477371,53,4957540
237578014,192979574,140349241,52,4980766
239990816,195038620,141846862,52,5027249
237640648,193515736,140738812,52,5086861
240009111,195552430,142220202,52,5090525
237523495,193513470,140736776,52,5060424
237261958,193146747,140470948,52,5012263
239292841,194891907,141739769,52,5041282
237573706,194070226,141141728,53,5025714
237576710,193703288,140875642,52,4994888
237506694,193922646,141034894,52,5116928
239924784,195866118,142448115,52,5081612
240064870,196306295,142768550,52,4942233
239954072,195641743,142284338,105,4989928
237541440,193599749,140800708,52,4981171
237479792,194231638,141259383,52,4971236
237349536,193776095,140928031,52,4976661
237081372,193177794,140493131,52,4906536
237517333,193699909,140873188,52,4922776
237513856,193972973,141071350,52,5036672
237249712,193702472,140874283,52,5009200
237501707,193890737,141011709,52,5059125
237604890,193982422,141078446,52,4954245
237656366,194177782,141220338,52,4980464
237609382,194524975,141473125,52,5010917
239879490,196081925,142605409,52,4928790
