cycles,instructions,dtlb_load_misses.walk_completed,dtlb_store_misses.walk_completed,ept_walk_cycles
127696641,223338221,1756308,12374,31049833
239019022,438261926,3555532,88,62125336
238881138,438097921,3551722,90,62057365
240749208,441223091,3579628,93,62620764
240849475,441660046,3583804,88,62626660
241235095,442501314,3589458,89,62622582
239085903,438568655,3554102,95,62044341
238239381,437064777,3540659,91,61815311
239017601,438376430,3553709,89,62069907
239121895,438660222,3554956,83,62076579
239114357,438720867,3557279,87,62040636
239021091,438474684,3552787,90,62059910
239006283,438428367,3553837,94,62035161
239025339,438416449,3555162,91,62086317
239068045,438454753,3553160,88,62076771
239033413,438515892,3553658,86,62026087
238635613,437751553,3547356,87,61935231
238763304,437960960,3549513,88,62020308
240957899,441948927,3582370,87,62582558
240933510,441889949,3581758,92,62559444
240951842,441990926,3581330,91,62571049
240781814,441736015,3580233,92,62514633
240875057,441864273,3583669,94,62540471
241059356,442159761,3581481,88,62577256
240926861,442043718,3585878,89,62482161
240910289,441938080,3582641,94,62474893
240614235,441403128,3577633,94,62462956
238394375,437303352,3546286,91,61865473
241099643,442352323,3586021,86,62558038
238874107,438160032,3552094,90,62012833
238878049,438230940,3550311,90,61964371
241356604,442676686,3586735,88,62628755
241160535,442438125,3587771,87,62591805
240904224,441806185,3581018,88,62609113
240945830,441997952,3580765,87,62542598
240950651,442045823,3581168,91,62500172
240722036,441566911,3580441,89,62478391
238282557,437102944,3541927,90,61827005
241061920,442304747,3586020,90,62531922
240958140,442048080,3584806,92,62568020
240887942,441873087,3581311,92,62509704
240938806,442004834,3579909,90,62467018
240943558,441856270,3577199,93,62496690
240847080,441855324,3580437,93,62483633
240918286,441935442,3579565,92,62545748
240868596,441772741,3579910,93,62543960
240619142,441400795,3577180,93,62454382
238337371,437124155,3542603,92,61945032
240830954,441856953,3581240,86,62462230
241350864,442789381,3590267,91,62614685
238952674,438425334,3550709,93,61943200
241370779,442791717,3588142,97,62622445
239665532,439638762,3564702,91,62223288
241300796,442784194,3590116,85,62591223
241250088,442638162,3587299,88,62563072
240867236,441870628,3577762,90,62491799
240760601,441667549,3581090,85,62523032
238295301,437134734,3542540,97,61859615
240749288,441650271,3578854,90,62501352
240595829,441423590,3576803,88,62405297
240687653,441555194,3579256,90,62438012
240803886,441717500,3582474,82,62524712
240658756,441588705,3578178,86,62390091
240539658,441356255,3580337,87,62413838
240588622,441381427,3577502,82,62400381
240614362,441557388,3578901,88,62359977
240381339,440981408,3575652,95,62382859
240647541,441598730,3578679,88,62407569
241299188,442664570,3588797,91,62613233
241218717,442535314,3583954,86,62583185
240542245,441496165,3576325,86,62276369
240607809,441457874,3576498,92,62394032
240502217,441186604,3574730,90,62446112
240553911,441201729,3576492,88,62444812
240272533,440781983,3574938,90,62377815
240587784,441433662,3578714,91,62406284
237656188,435998918,3535653,91,61677874
240490945,441324259,3574391,93,62339066
240576402,441369655,3574558,91,62401749
240372815,441004758,3573870,89,62331012
240633250,441431399,3576556,89,62445930
240548095,441317269,3579372,95,62416289
240425189,441112111,3576528,88,62325648
240578548,441454173,3578996,90,62380243
240613527,441519637,3577620,91,62373729
240453580,441158444,3576175,89,62422408
237856595,436375269,3536041,87,61756562
240642664,441459341,3577379,93,62476217
240519468,441280961,3575675,92,62383163
240642212,441491825,3575705,88,62445609
240614144,441346724,3577609,86,62502694
240537858,441229616,3576289,91,62445913
240429347,441006828,3574122,89,62407246
240623546,441391576,3577723,92,62471881
240587795,441370603,3576616,90,62419642
240568032,441352890,3577932,91,62472030
238132095,436806199,3541208,89,61868011
240983163,442053965,3580758,93,62527016
240754932,441583603,3581702,93,62553474
240490724,441215925,3576985,92,62425250
240725307,441681984,3580711,83,62415966
240786835,441856378,3582839,90,62470572
240593635,441330432,3574011,85,62415957
239574738,439658848,3562576,90,62100959
241074462,442392910,3585422,89,62471009
241069752,442404126,3583919,84,62501626
238244926,437034300,3544914,86,61870520
241137716,442422004,3586330,91,62544092
241108347,442359477,3587808,86,62528815
241124838,442381714,3583553,92,62537511
241086231,442305881,3586678,89,62578327
240969895,442118588,3580455,90,62500296
240829050,441828788,3579072,87,62482638
240965938,441986072,3580765,94,62556145
241121930,442345271,3587829,89,62587683
241112743,442304449,3586475,94,62546297
238331517,437232681,3542709,82,61841200
