cycles,instructions,dtlb_load_misses.walk_completed,dtlb_store_misses.walk_completed,ept_walk_cycles
39908562,12276155,144251,99521,4901990
228998498,102580354,3022454,77,94335093
240297263,104280839,3072326,77,96683600
239602203,103879876,3061030,79,96411767
239612255,103846713,3059478,78,96368539
239520102,103826151,3059170,79,96369978
239553871,103859485,3059101,75,96323143
239579850,103836793,3059584,78,96339023
239543417,103771310,3058867,78,96327276
239565697,103838095,3060301,78,96438678
236957773,102664335,3025292,75,95233369
238608306,103292011,3042933,81,95854806
239636696,103836095,3059850,82,96318207
239590821,103752121,3057343,79,96322726
239535142,103737004,3056323,79,96241869
239541711,103778389,3058113,81,96304595
239391219,103746417,3057238,78,96263428
239496716,103772375,3057120,79,96275668
239585637,103799397,3057895,83,96339191
239173088,103636998,3052893,77,96188678
236949384,102648283,3023837,77,95167430
238573888,103349060,3044801,81,95905529
239266740,103635851,3053517,79,96163330
239734327,103900611,3060478,75,96382002
239578155,103816674,3059798,79,96377917
239678697,103823091,3058635,77,96332806
239338190,103660392,3054029,77,96223295
239653066,103900622,3060828,77,96419689
239622564,103861829,3060449,79,96352581
239354892,103710406,3055796,75,96200127
237106598,102755048,3027152,79,95345949
238666535,103309565,3043544,81,95863634
239710072,103856044,3060018,77,96352499
239622370,103871843,3059922,77,96318254
239640886,103822905,3059702,80,96359207
239580904,103838467,3059335,80,96327751
239642719,103838363,3058591,79,96337046
239488001,103827618,3059160,82,96323726
239896127,103863504,3059390,80,96375481
239062759,103219831,3041372,78,95946667
237039387,102375732,3016505,79,95136443
238763446,103231445,3040293,79,95745492
239554298,103515788,3050679,76,96145353
239530356,103535400,3050722,76,96178550
239511315,103424462,3047965,76,96096570
239469041,103503450,3050114,77,96117337
239494333,103502602,3050038,78,96136583
239633129,103552368,3051997,79,96216177
239464107,103694925,3055584,78,96272742
239433617,103732788,3056613,80,96188816
237029669,102685763,3025298,80,95318977
238679312,103035091,3035513,78,95789027
239430540,103479270,3049093,78,96151948
239641605,103821573,3059641,77,96358962
239626443,103540142,3050508,77,96179649
239511800,103554012,3051064,82,96203459
239639754,103584659,3051558,83,96195638
239586997,103477636,3049644,83,96114092
239514158,103522184,3049307,79,96212920
239386897,103543254,3050439,79,96140633
237123205,102565390,3022005,79,95212751
220544732,99743914,2938496,83,90966325
239352303,103534202,3050382,77,96506276
239581147,103616002,3053217,77,96543736
239678346,103732571,3056901,81,96701978
239513594,103655762,3053985,80,96655498
239630390,103746160,3056897,79,96750306
239473031,103667626,3054675,81,96661917
239645229,103745177,3056226,82,96672961
239435033,103697759,3055853,78,96684804
237089759,102636937,3024809,74,95660247
238693017,103220037,3041606,80,96265858
239625816,103699246,3054635,78,96643683
239689862,103767962,3057607,80,96747078
239644895,103790107,3058595,79,96797653
239619455,103742119,3055951,77,96714867
239580177,103714890,3055010,79,96672172
239602775,103751791,3056636,81,96624374
239596562,103719044,3056432,80,96736096
239393364,103588731,3051522,80,96520952
237048154,102578162,3021463,79,95610708
238868639,103334365,3043514,80,96328577
239599554,103708856,3056789,78,96652980
239550581,103696197,3055470,81,96684568
239640140,103759572,3057232,80,96694677
239625361,103670292,3053352,79,96645995
239589919,103700041,3055936,79,96708932
239469406,103651692,3054607,78,96605787
239634807,103804698,3058782,82,96704925
239427701,103684769,3054877,75,96646581
237013951,102594281,3023451,78,95631373
238843610,103352346,3043952,83,96321290
239719474,103761277,3056790,79,96703035
239543803,103670708,3055213,81,96678187
239646086,103765965,3057245,82,96766245
239635708,103737872,3056784,78,96679933
239609606,103683899,3055561,80,96664751
239502050,103657144,3053510,79,96575030
239603415,103706979,3055114,73,96654376
239536727,103707306,3055664,78,96679334
237059639,102552308,3022370,77,95577318
238612102,103204443,3040917,77,96227405
239722289,103683255,3054904,82,96682284
239694101,103734228,3056821,80,96760949
239592536,103703648,3056491,78,96713380
239535462,103473412,3049065,80,96551703
239466495,103617457,3052310,82,96663349
239602664,103504938,3050158,78,96551516
239312580,103445345,3048054,83,96477054
239367914,103421083,3047355,79,96492829
236931134,102359612,3016429,77,95560436
238855236,102997116,3034951,80,96154147
219515930,100036007,2947595,82,91063901
239627378,103935683,3062156,77,96535771
239627315,103919304,3062557,77,96509914
239566523,103950749,3062599,78,96513017
239554553,103921755,3062236,80,96520307
239650160,103988755,3064560,76,96519624
239603000,103978463,3063919,81,96516385
239355855,103863506,3059965,78,96500095
237052067,102842468,3030454,76,95457894
238992475,103626725,3052956,79,96231285
239421111,103688029,3054244,79,96252114
239565403,103756963,3057259,78,96354977
239763136,104002446,3064532,80,96611221
239483752,103902420,3061123,76,96544844
239646586,103591262,3052009,78,96214206
239271138,103778451,3057984,76,96381171
239566957,103941263,3062355,78,96563428
239404595,103917165,3061451,76,96521999
236922846,102847676,3030473,78,95467207
238844979,103624186,3051982,76,96221657
239630849,103964172,3063537,76,96540210
239605531,103969938,3063518,77,96536535
239580846,103972977,3063024,79,96521051
239532197,103926650,3062618,80,96485594
239693576,104006322,3064117,78,96541291
239542153,103948331,3062971,79,96540497
239708952,104075865,3066841,80,96685567
239207467,103811580,3058558,80,96425727
237046226,102897864,3031433,74,95597119
238663554,103601429,3051794,77,96164004
239432208,103888502,3061558,83,96493317
239563107,103981284,3062913,76,96475317
239552557,103971043,3063600,79,96534232
239642593,104017895,3064510,79,96565233
239432911,103931115,3062067,78,96496407
239532108,103969442,3063518,77,96511611
239706707,104033178,3065063,78,96571043
239356676,103895281,3060680,77,96424939
237110021,102922665,3031665,78,95517105
238797933,103623843,3052776,77,96214213
239690363,103922694,3062607,76,96486039
239503285,103907039,3060936,79,96473403
239507315,103933409,3062195,79,96483909
239715781,104078345,3066318,81,96631369
239602155,104009485,3064086,82,96564168
240028262,104184955,3070980,79,96796539
239557811,104040122,3065847,78,96607843
236393661,102572879,3021631,76,95286894
239470322,103977875,3063397,75,96503116
239482975,103933998,3062808,83,96545920
238879736,103589026,3051979,79,96190715
239565166,103964404,3062389,79,96500804
239606164,104004182,3064579,77,96620811
239585326,104011819,3064965,76,96564628
239660934,104000338,3065149,78,96592408
239615271,104032961,3064784,83,96593065
239578497,103955179,3063236,84,96560106
236846136,102791526,3027604,77,95478525
239682189,104039316,3064854,79,96615594
239507509,103978514,3062528,78,96527057
238921019,103618398,3053316,77,96217824
239557719,103961805,3063987,78,96606847
239702915,103976638,3063284,76,96550053
239541110,103950031,3063228,80,96474709
239617507,103974081,3063321,82,96577440
239474194,103914510,3060200,81,96466999
239613365,104014702,3064372,79,96526478
236901404,102884485,3031180,79,95491340
239484648,103958351,3062405,77,96525008
239351083,103801380,3058150,76,96340242
238929744,103618093,3052670,77,96214470
239537494,103926347,3063168,79,96534011
239656403,103990635,3064308,76,96572129
221962635,100718348,2967606,78,91899230
239685384,103458117,3048355,78,96573710
239633027,103460360,3048713,80,96567577
239489068,103475302,3048811,78,96569532
236640346,102166161,3010186,76,95363958
239564507,103492724,3050818,78,96580490
239545484,103420606,3047421,77,96507351
238790914,103015913,3035479,81,96181990
239590086,103427500,3048578,75,96524322
239552244,103504741,3050398,83,96575350
239523721,103470404,3050107,77,96555392
239645595,103424327,3046942,78,96520458
239522734,103395663,3046483,77,96486619
238849086,103130179,3038001,81,96222260
236190502,102039711,3006315,79,95201794
238941973,103340452,3046039,78,96325936
239515750,103440156,3047792,77,96543512
240283322,103811973,3057391,78,96808928
238755335,103121205,3039089,78,96197843
241226431,104115517,3068467,77,97213820
241056842,104184055,3069139,82,97191071
241109180,104185098,3069036,82,97235707
241136368,104239824,3070537,79,97125436
241099943,104151784,3069420,79,97200215
238026746,102720379,3026648,81,95896328
241003571,104131727,3068425,80,97118902
240689712,103757516,3058364,82,96925050
240286514,103711274,3055720,80,96713020
241134373,104084390,3067324,78,97152362
241316825,104440506,3077662,78,97361954
241260627,104329818,3074371,80,97314872
238828918,103074709,3037994,79,96270204
238849981,103167968,3040164,79,96219164
238852215,103138549,3039927,78,96250679
238567722,103067610,3037584,77,96170322
238864300,103208206,3039976,78,96281370
240467839,103759623,3057498,79,96807802
238061743,102675068,3025783,82,95863000
238862393,103154297,3039861,76,96235486
241234112,104148549,3069911,78,97211620
241268956,104228478,3070676,78,97177577
239522071,103506664,3049615,81,96568480
241300828,104250891,3072833,80,97303071
239020961,103201696,3042254,80,96417260
236073816,101958833,3004907,79,95175272
241036408,104118335,3068054,77,97121572
240869538,103948754,3063033,77,97059661
240058038,103443434,3048360,77,96597358
238958983,103245840,3042133,78,96303450
238959534,103447421,3047563,79,96433699
238802263,103291069,3043131,78,96331466
238828320,103139840,3039453,80,96245422
238826524,103084950,3037715,75,96188690
238906178,103138859,3039597,78,96346877
238552298,103032920,3036832,79,96166809
220830710,99905776,2944173,84,91315552
239651689,103640005,3053657,84,96385278
238045198,102890105,3032144,78,95653684
238862889,103270237,3042611,79,96052622
238711618,103214022,3040808,80,95979566
238819680,103290015,3042689,79,95985659
241300185,104376441,3074826,77,96991200
238875973,103328691,3045139,79,96100921
238958767,103320643,3044285,81,96023665
238493403,103105088,3037984,78,95930779
238938441,103351054,3044981,80,96099920
238788821,103246615,3041911,79,96013858
240393431,103856653,3060194,78,96625653
238943832,103298680,3043899,78,96016355
241277009,104299347,3073060,82,97008951
241350942,104239670,3071346,80,96949938
238840788,103173579,3040106,77,95965458
238424517,103006105,3035854,79,95840675
240477011,103957941,3061808,78,96704260
238003537,102883915,3030695,78,95605997
240931506,104105470,3067583,76,96873060
240978540,104159069,3068850,77,96837470
240275145,103820532,3058333,80,96492775
241281136,104305489,3073482,76,97019197
241256270,104301173,3073799,79,96968517
241171530,104268166,3072905,80,96935842
241166056,104290273,3072160,83,96963168
241157762,104267341,3071768,79,96933837
241259844,104359267,3074766,78,97058241
238352994,103088070,3036846,75,95833664
241138162,104270235,3073589,79,96972987
241146861,104315961,3073210,81,96945505
240507219,103922508,3062273,79,96670803
241247335,104279330,3072593,78,96922611
240541244,103942189,3062472,79,96649154
240744330,104031628,3065331,78,96725950
238933562,103308429,3044306,84,96143614
238474334,103068789,3036747,81,95907644
238657642,103143664,3040210,79,95863712
236531958,102218352,3011825,76,95048471
238842463,103257104,3042633,78,96051773
241065414,104233873,3071453,80,96925747
240216551,103821344,3057860,75,96546591
240923879,104134982,3068562,82,96786637
240953485,104221119,3069869,77,96844218
240904640,104180025,3069709,79,96864454
241010461,104268686,3072098,81,96932679
240793921,104203170,3070596,80,96852290
240750017,104117436,3067900,78,96834950
238326397,103023527,3035189,77,95827565
240885100,104240258,3070958,79,96860611
240961819,104257991,3072067,81,96925323
240287665,103836626,3059800,78,96564703
241147535,104264624,3072175,79,96951565
241209937,104306059,3072874,81,97020871
241273930,104315496,3072566,79,96965337
241183357,104271320,3072721,79,96946109
240760825,104120286,3068847,79,96800914
240958177,104207265,3070510,77,96935485
238570437,103193469,3039857,79,95952314
240953016,104216668,3070896,79,96914082
240049996,103779443,3057558,80,96520304
240442780,103897603,3060752,76,96564081
241114711,104234988,3070329,78,96861650
238724012,103229275,3040923,75,95960085
238762046,103045549,3034946,80,95831394
238516932,103122088,3038970,82,95910074
241019687,104195143,3070385,79,96885100
240956888,104219147,3069745,78,96844890
238516871,103142505,3038832,81,95885380
241120293,104262702,3072099,78,96962313
241187848,104356322,3074377,79,96962110
240388145,103848221,3059077,80,96606706
241188020,104231981,3071107,78,96929170
241053840,104270472,3071352,77,96918614
241176128,104299282,3073192,81,96984831
241125480,104327152,3073328,86,96983059
240792136,104113240,3068124,76,96879156
240897852,104178289,3069256,80,96860816
238330551,103041663,3035333,78,95836682
241030170,104318626,3072695,77,96981866
